"var_name","vi"
"res_2012_2k",21098441.3771111
"res_2012_1800",19038156.1598823
"imd_2012_1k",18720132.3755374
"imd_2012_500",18125428.0859918
"imd_2012_800",17472091.4568913
"res_2012_1200",14268067.2449767
"imd_2012_700",13787609.2371744
"imd_2012_4k",13055534.9595935
"imd_2012_600",12428572.8656992
"imd_2012_300",11953831.8342681
"imd_2012_200",11597745.0393475
"res_2012_3500",11322749.9732524
"res_2012_2500",11057094.1892373
"res_2012_500",10914511.3615034
"imd_2012_1200",9814535.7503551
"slope",9729852.47490114
"imd_2012_2k",9365993.84533995
"imd_2012_3500",9146700.45219452
"imd_2012_1800",9125842.79415685
"res_2012_1500",8778523.03759912
"res_2012_600",8729451.49342949
"res_2012_700",8580352.64256858
"imd_2012_2500",8161229.23429834
"res_2012_4k",8079850.36801405
"imd_2012_400",7834629.77652951
"res_2012_800",7830056.8046157
"unclassified_100",7746975.83504876
"res_2012_1k",7630331.92765932
"imd_2012_100",7429182.81308924
"imd_2012_1500",6855841.0281176
"cveh2011_1k",5914964.82936716
"residential_500",5908430.97443954
"cveh2011_12k",5203393.68668919
"pcar2011_200k",5103536.54250917
"res_2012_300",4842031.24722774
"elevation",4642819.76674244
"pop2011",4642465.93945012
"residential_400",4280558.30227433
"localA_100",4021494.72403085
"imd_2012_5k",3984866.378577
"pcar2011_1k",3838516.37265426
"area_type",3792601.520009
"pop2011_200k",3483205.76119636
"imd_2012_6k",3429871.58976319
"localA_50",3397574.86708739
"cveh2011_8k",3365048.02155839
"pop2011_1k",3299284.91819928
"unclassified_400",3280688.37358433
"res_2012_5k",3263815.29482637
"pop2011_10k",3172515.24633727
"pop2011_150k",3119158.49607657
"res_2012_200",3112914.36452312
"pcar2011_12k",3081882.57966239
"res_2012_400",3066105.64249882
"imd_2012_7k",2938393.86074621
"unclassified_500",2869354.05204907
"cveh2011_5k",2841691.79893002
"localA_400",2841547.01040641
"cveh2011_200k",2791064.26586699
"pcar2011_100k",2758575.76810438
"highway_200",2745855.04738126
"pop2011_12k",2647479.32088621
"pop2011_15k",2565840.35832817
"pcar2011_5k",2544504.7583083
"pcar2011_10k",2537696.93438502
"localA_300",2527008.00445354
"cveh2011_10k",2493554.27458624
"cveh2011_100k",2489529.11446638
"pcar2011_150k",2486551.11965374
"residential_200",2473750.01386818
"res_2012_7k",2461786.94492452
"pop2011_100k",2440428.3620585
"residential_50",2419008.39715433
"unclassified_200",2396361.38531234
"cveh2011_15k",2350984.03633885
"res_2012_10k",2341042.26222172
"localA_200",2326585.86102754
"res_2012_8k",2216053.41377402
"res_2012_6k",2202578.54058436
"pop2011_5k",2197163.27115776
"imd_2012_10k",2084083.4839732
"cveh2011_30k",2075554.71631138
"residential_100",2051054.73316839
"pcar2011_20k",2047668.87673601
"cveh2011_150k",1974482.68753471
"pcar2011_15k",1922302.60847468
"pcar2011_8k",1848562.92079088
"cveh2011_20k",1809158.97946824
"cveh2011_25k",1749426.74340295
"pop2011_8k",1714266.10828308
"pcar2011_25k",1677778.48434192
"residential_300",1672730.96788061
"cveh2011_45k",1671432.36312327
"localA_500",1643811.0301694
"pop2011_20k",1606206.0857887
"cveh2011_75k",1558223.39340303
"pcar2011_45k",1548243.04889557
"pop2011_30k",1524566.34778981
"pop2011_45k",1521729.1580906
"pop2011_50k",1429179.41901967
"unclassified_300",1419659.42692651
"unclassified_50",1379009.96671162
"highway_500",1358645.29418558
"pcar2011_50k",1358206.92810826
"pop2011_25k",1354342.23084372
"highway_400",1180479.5181709
"pop2011_75k",1166798.39006996
"primary_500",1144596.64304275
"pcar2011_30k",1122669.51248989
"imd_2012_8k",1024182.4901274
"pcar2011_75k",907224.604290369
"cveh2011_50k",865590.496810246
"primary_400",475040.731698556
"res_2012_100",458605.538373783
"maxv_10_localA",439722.943061628
"highway_300",437663.554047422
"primary_200",426528.453078957
"primary_300",273848.387270878
"primary_100",103883.424284921
"lane_10_localA",54821.21575
"lane_10_unclassified",2168.65657283543
"highway_100",0
"highway_50",0
"lane_10_primary",0
"lane_10_residential",0
"lane_20_highway",0
"maxv_10_primary",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"primary_50",0
