"var_name","vi"
"lane_20_highway",3449322796.64762
"maxv_20_highway",2717415311.17511
"highway_200",2665429691.21124
"highway_300",2574322717.93301
"pop2011_150k",1848842419.74838
"highway_400",1727924504.20529
"pop2011_12k",1676740460.42067
"cveh2011_150k",1555358849.0573
"highway_50",1295802062.76795
"pcar2011_150k",1202219767.19447
"highway_500",1194195690.70187
"res_2012_400",1184612562.60389
"imd_2012_10k",1157905284.38502
"highway_100",1120107117.59406
"pop2011_15k",1094734464.91445
"pcar2011_12k",1085414508.99185
"cveh2011_100k",1080221573.92689
"residential_500",1049110267.49358
"pcar2011_25k",941172461.538606
"pcar2011_50k",925115872.323919
"pop2011_50k",915436306.754049
"res_2012_600",902139319.726851
"imd_2012_500",899938368.392977
"pop2011_25k",870296649.729485
"pcar2011_100k",869003108.473702
"imd_2012_8k",859428020.726625
"res_2012_10k",844647279.217921
"pcar2011_20k",834391478.857223
"pcar2011_15k",819246890.971633
"pop2011_20k",781925687.704502
"cveh2011_200k",772438570.883015
"cveh2011_15k",768103196.666779
"pop2011_10k",767394045.605889
"pop2011_100k",763482094.175495
"cveh2011_10k",757569340.694634
"res_2012_1k",691069257.796477
"pcar2011_30k",678186531.136882
"cveh2011_45k",665888839.440213
"imd_2012_1200",664807492.157001
"pop2011_30k",640435523.260758
"pcar2011_45k",616138608.911257
"res_2012_500",613775774.293384
"imd_2012_600",608187993.112154
"res_2012_8k",603027250.590029
"cveh2011_12k",584419569.723652
"imd_2012_700",580901688.675903
"imd_2012_7k",576496728.968115
"res_2012_800",568294933.648895
"pcar2011_1k",565071476.999155
"imd_2012_400",557840820.034906
"res_2012_700",556868961.189904
"imd_2012_200",551488549.759907
"pop2011_45k",548839030.41886
"pop2011_1k",535255002.22012
"imd_2012_800",532652611.863694
"cveh2011_25k",525723931.218704
"res_2012_300",519269157.858677
"residential_200",506055141.823359
"cveh2011_75k",491211482.907364
"pop2011_75k",487035836.929107
"residential_400",486753277.565576
"imd_2012_300",481422947.829599
"pcar2011_10k",476491607.609401
"pcar2011_200k",464658163.67946
"slope",462027121.181429
"imd_2012_1k",457709937.486339
"imd_2012_5k",447598006.152135
"cveh2011_20k",446840523.986543
"imd_2012_6k",437575893.388089
"residential_300",424227242.378686
"res_2012_1800",415315097.468372
"pop2011_8k",400700281.934418
"imd_2012_3500",384600902.231422
"cveh2011_50k",379430569.355782
"imd_2012_1500",376763075.01456
"res_2012_1200",371418390.891035
"res_2012_7k",366869396.86117
"res_2012_200",350066824.760677
"pcar2011_75k",344322949.257041
"imd_2012_2500",334349609.076257
"cveh2011_30k",327904729.784919
"res_2012_5k",326475932.48233
"pcar2011_8k",322145004.107074
"res_2012_1500",309841214.053273
"elevation",309647741.305494
"localA_500",308311955.683147
"primary_400",307285324.328794
"imd_2012_4k",306967307.614323
"imd_2012_1800",297224076.85532
"res_2012_100",296635627.24154
"pop2011",294512380.193338
"cveh2011_8k",289839240.472917
"res_2012_2500",262409865.585132
"unclassified_500",251029160.540845
"res_2012_4k",245934100.935548
"pop2011_200k",238281915.804073
"imd_2012_2k",234974837.631832
"res_2012_2k",201757403.099592
"localA_300",198805700.07746
"pcar2011_5k",192443527.128063
"primary_500",192327690.731393
"localA_50",188614345.664611
"unclassified_400",171935904.854818
"res_2012_6k",169120358.739919
"imd_2012_100",168294831.233761
"pop2011_5k",167189822.32335
"localA_200",166864718.632589
"cveh2011_5k",160327666.597015
"cveh2011_1k",156812984.207981
"localA_400",149217984.983777
"residential_100",148416134.94042
"primary_50",137715899.523711
"res_2012_3500",121786906.485741
"unclassified_300",107022657.363106
"unclassified_200",87872270.0844124
"primary_300",82631469.6237159
"primary_100",48789234.3623823
"area_type",39177628.0676109
"unclassified_100",37737437.9148761
"localA_100",35273689.0586387
"primary_200",29226588.0724621
"residential_50",21957253.1465635
"maxv_10_primary",3147408.35462857
"lane_10_localA",821621.470763088
"maxv_10_localA",675803.056114285
"lane_10_primary",645773.408333328
"unclassified_50",434700.200892857
"lane_10_residential",200361.148928572
"lane_10_unclassified",32248.3204571428
"maxv_10_residential",0
"maxv_10_unclassified",0
