"var_name","vi"
"lane_20_highway",3386387823.02872
"maxv_20_highway",2536006971.71783
"highway_300",2180628204.21202
"highway_200",1751979264.86477
"highway_50",1457311866.15005
"res_2012_10k",1266075696.42417
"highway_100",1265433746.26517
"pcar2011_150k",1196428168.91039
"pop2011_150k",1118794693.28239
"imd_2012_10k",1090981476.11892
"pop2011_10k",1059069121.95108
"pop2011_20k",987185959.167768
"pcar2011_10k",967745240.577971
"highway_500",953572442.636198
"highway_400",947765284.604935
"pop2011_12k",934396298.265357
"pop2011_15k",916565683.151609
"cveh2011_150k",909260619.734638
"pcar2011_15k",847245716.199347
"pcar2011_20k",802569628.4443
"slope",783813661.202136
"pcar2011_12k",728641105.324067
"imd_2012_7k",728048761.858595
"imd_2012_8k",719269674.736184
"cveh2011_12k",713339973.898014
"pop2011_100k",678482077.732177
"pcar2011_75k",674749836.40131
"pcar2011_100k",645789885.855922
"pcar2011_30k",629781860.264099
"imd_2012_6k",626516663.887894
"res_2012_6k",623722803.404611
"cveh2011_10k",591716766.997471
"res_2012_800",591317742.048325
"res_2012_8k",557132343.971696
"pop2011_8k",551272616.165482
"pcar2011_8k",549290746.306813
"pcar2011_1k",547555236.199853
"cveh2011_100k",547498026.781153
"pcar2011_25k",547297037.71073
"res_2012_300",534917700.91255
"res_2012_5k",525082043.681468
"primary_500",512544942.794038
"res_2012_3500",498437274.621015
"res_2012_200",495117881.876381
"res_2012_2500",491399941.560734
"res_2012_1800",489014386.514555
"pop2011_50k",474030109.577099
"pop2011_75k",459433083.245229
"pop2011_200k",449999710.100083
"res_2012_4k",433991058.893242
"imd_2012_1k",428868732.756749
"primary_400",423481060.803705
"res_2012_400",420687474.62825
"pcar2011_50k",415311475.400129
"res_2012_1k",414703846.604599
"cveh2011_25k",412907254.489471
"cveh2011_75k",408437884.744131
"res_2012_7k",406622882.176866
"pcar2011_5k",405311828.097461
"residential_300",400446926.134901
"res_2012_2k",399923008.477364
"pop2011_5k",397603164.299997
"cveh2011_50k",395803466.746672
"pcar2011_200k",394719697.887488
"res_2012_600",393579967.480585
"localA_500",388309482.833196
"imd_2012_5k",385295249.48419
"localA_400",384265958.183247
"imd_2012_800",383391489.650517
"imd_2012_1800",380011359.599042
"elevation",379194357.797969
"imd_2012_1500",376531262.276021
"res_2012_700",374574835.238315
"imd_2012_1200",372528876.21707
"imd_2012_500",369968142.541093
"pop2011",362943697.575349
"res_2012_100",354558402.815862
"pop2011_45k",351453822.871031
"pop2011_25k",351436148.965591
"residential_500",346242966.442398
"pcar2011_45k",340040503.583638
"residential_400",335454958.930137
"cveh2011_30k",333754287.790922
"cveh2011_15k",328180512.250324
"imd_2012_4k",319277707.249116
"imd_2012_200",314786011.202224
"localA_200",303898396.529897
"cveh2011_8k",297342372.716299
"res_2012_500",295312580.373571
"cveh2011_200k",293973705.760293
"cveh2011_20k",292794719.436261
"cveh2011_45k",287171235.393548
"unclassified_500",282649335.552156
"imd_2012_700",271702494.213644
"cveh2011_5k",270544446.656264
"res_2012_1200",258110236.515724
"imd_2012_300",257718299.514522
"imd_2012_600",257125318.84888
"residential_200",254865401.752425
"imd_2012_400",249683982.577292
"pop2011_1k",241976385.46789
"imd_2012_3500",240169174.350934
"cveh2011_1k",238611331.405216
"imd_2012_2500",235572673.332459
"pop2011_30k",224580813.622383
"unclassified_400",217620151.635461
"primary_200",202563979.59964
"imd_2012_2k",177225800.209826
"primary_300",176906034.484758
"localA_300",157189076.688424
"residential_100",144999683.908321
"res_2012_1500",132147744.727492
"residential_50",92811267.5956594
"imd_2012_100",87148534.2511305
"unclassified_200",83384058.6167564
"primary_100",68611536.5332683
"localA_100",67609252.203831
"unclassified_300",60793388.4164098
"primary_50",59220235.3851213
"area_type",40574427.4709241
"localA_50",37609258.8986925
"unclassified_100",35357624.0473922
"lane_10_primary",4588716.10075003
"unclassified_50",2736035.95599334
"lane_10_localA",1338573.7734
"maxv_10_primary",1160182.36834286
"maxv_10_localA",597121.716196012
"lane_10_residential",218098.72452381
"lane_10_unclassified",0
"maxv_10_residential",0
"maxv_10_unclassified",0
