"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
8,6036.54493333334,5387,-649.544933333335,"train","UK",3571617.5,3375322.5,"localA","urban"
27,4505.5504,2888,-1617.5504,"train","UK",3572412.5,3194962.5,"localA","urban"
33,2389.36114630137,2242,-147.361146301369,"train","UK",3642277.5,3362002.5,"localA","rural"
34,2483.84986465754,794,-1689.84986465754,"train","UK",3579757.5,3270437.5,"localA","urban"
35,5658.88751187215,6314,655.112488127851,"train","UK",3619262.5,3131822.5,"localA","urban"
43,3174.05187853881,2629,-545.051878538814,"train","UK",3424282.5,3262842.5,"localA","rural"
44,4159.34336894977,4203,43.6566310502285,"train","UK",3582192.5,3437302.5,"localA","rural"
45,3621.03367269406,4938,1316.96632730594,"train","UK",3344312.5,3206142.5,"localA","rural"
46,1632.9957826484,1343,-289.995782648401,"train","IT",4904697.5,1854922.5,"localA","rural"
54,3759.18881707762,3162,-597.188817077625,"train","IT",4711787.5,1628192.5,"localA","urban"
72,8795.5574,8981,185.442600000002,"train","UK",3604567.5,3197112.5,"localA","urban"
73,9544.70203333333,12590,3045.29796666667,"train","UK",3512977.5,3438207.5,"localA","urban"
75,1862.38415196347,779,-1083.38415196347,"train","UK",3645207.5,3364352.5,"localA","rural"
80,2592.48572100457,716,-1876.48572100457,"train","UK",3408777.5,3697842.5,"localA","urban"
85,6087.2457,5024,-1063.2457,"train","UK",3503057.5,3336032.5,"localA","urban"
91,8645.93906666666,10386,1740.06093333334,"train","UK",3576577.5,3483412.5,"localA","urban"
101,6441.01616666667,6275,-166.016166666668,"train","AT",4786432.5,2799512.5,"localA","urban"
104,6304.14293899543,7456,1151.85706100457,"train","UK",3506842.5,3717672.5,"localA","urban"
110,2853.32554429224,2965,111.674455707763,"train","UK",3342002.5,3276492.5,"localA","rural"
111,2560.71582283105,2780,219.28417716895,"train","UK",3448567.5,3286492.5,"localA","rural"
112,1236.61155525114,940,-296.61155525114,"train","FR",3550712.5,2278722.5,"localA","rural"
113,7848.95843333333,10446,2597.04156666667,"train","UK",3538127.5,3485952.5,"localA","urban"
116,1615.81422876712,805,-810.814228767124,"train","UK",3560397.5,3497842.5,"localA","rural"
120,6109.8832,6548,438.116800000001,"train","UK",3574932.5,3197687.5,"localA","urban"
124,2883.03991726027,3311,427.960082739728,"train","UK",3501022.5,3158822.5,"localA","rural"
141,2397.9374852968,1916,-481.937485296805,"train","UK",3724732.5,3324872.5,"localA","rural"
143,1322.67918054794,771,-551.679180547944,"train","UK",3583957.5,3669372.5,"localA","rural"
144,1223.733,496,-727.732999999999,"train","UK",3469947.5,3641117.5,"localA","rural"
151,4920.00823753425,4937,16.9917624657546,"train","UK",3719577.5,3237892.5,"localA","urban"
156,1624.68073214611,1625.0904109589,0.409678812786296,"train","CH",4299942.5,2621007.5,"localA","rural"
162,5956.9429573516,5141,-815.9429573516,"train","UK",3518177.5,3684507.5,"localA","urban"
168,8128.85224748859,12574,4445.14775251141,"train","DE",4483962.5,2841927.5,"localA","urban"
182,4371.48016666667,2773,-1598.48016666667,"train","UK",3454042.5,3432592.5,"localA","urban"
191,3938.84136666666,2034,-1904.84136666666,"train","UK",3550282.5,3353262.5,"localA","urban"
199,6057.15946666666,5728,-329.159466666664,"train","UK",3559767.5,3408222.5,"localA","urban"
19,2736.53450392694,1005,-1731.53450392694,"test","IT",4741312.5,1632582.5,"localA","rural"
39,3523.53367689498,1252,-2271.53367689498,"test","UK",3641702.5,3179732.5,"localA","rural"
81,5856.51532621004,14116,8259.48467378996,"test","UK",3642392.5,3455702.5,"localA","urban"
139,5719.98850219178,12917,7197.01149780822,"test","UK",3749442.5,3294687.5,"localA","urban"
146,2457.75927031963,2202,-255.759270319633,"test","UK",3541672.5,3262842.5,"localA","rural"
154,5625.16253333333,3247,-2378.16253333333,"test","UK",3493977.5,3414147.5,"localA","urban"
170,2901.8479883105,1863,-1038.8479883105,"test","UK",3573532.5,3207967.5,"localA","rural"
181,7073.51514712329,12441,5367.48485287671,"test","UK",3509382.5,3334452.5,"localA","urban"
