"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
3,994.503933333334,1039,44.4960666666664,"train","UK",3703927.5,3148732.5,"residential","urban"
11,1241.0318,1279,37.9681999999996,"train","UK",3519892.5,3459172.5,"residential","urban"
14,814.890733333333,698,-116.890733333333,"train","UK",3401937.5,3716892.5,"residential","urban"
15,470.514466666667,291,-179.514466666667,"train","UK",3545087.5,3385937.5,"residential","urban"
16,974.190433333334,1015,40.8095666666662,"train","UK",3321637.5,3130087.5,"residential","urban"
20,735.046466666667,493,-242.046466666667,"train","UK",3642272.5,3457277.5,"residential","urban"
26,1006.5184,983,-23.5184000000003,"train","UK",3498567.5,3408007.5,"residential","urban"
29,1027.87146666667,790,-237.871466666667,"train","UK",3579287.5,3601452.5,"residential","urban"
38,770.185833333333,620,-150.185833333333,"train","UK",3653092.5,3428682.5,"residential","urban"
57,1021.87813333333,959,-62.8781333333337,"train","UK",3596372.5,3315867.5,"residential","urban"
61,482.644166666667,84,-398.644166666667,"train","UK",3358872.5,3443442.5,"residential","urban"
70,1009.6009,955,-54.6009000000001,"train","UK",3579757.5,3243602.5,"residential","urban"
71,1044.0899,863,-181.0899,"train","UK",3467322.5,3489132.5,"residential","urban"
74,724.4911,442,-282.4911,"train","UK",3606302.5,3191157.5,"residential","urban"
77,1107.23083333333,1211,103.769166666666,"train","UK",3688712.5,3276362.5,"residential","urban"
78,1102.1875,1370,267.8125,"train","UK",3521547.5,3452202.5,"residential","urban"
82,705.3307,591,-114.3307,"train","UK",3561892.5,3462912.5,"residential","urban"
84,540.885566666667,143,-397.885566666667,"train","UK",3496372.5,3454832.5,"residential","urban"
97,670.6982,343,-327.6982,"train","UK",3586627.5,3601912.5,"residential","urban"
99,1512.48676666667,1867,354.513233333333,"train","UK",3555707.5,3374007.5,"residential","urban"
103,1028.89003333333,1125,96.1099666666664,"train","UK",3641027.5,3455692.5,"residential","urban"
121,1171.12493333333,1075,-96.124933333333,"train","UK",3571637.5,3200597.5,"residential","urban"
125,884.352033333334,863,-21.3520333333341,"train","UK",3566332.5,3838252.5,"residential","urban"
126,895.979933333334,682,-213.979933333334,"train","UK",3480302.5,3246847.5,"residential","urban"
127,952.650966666667,1062,109.349033333333,"train","UK",3425577.5,3270242.5,"residential","urban"
130,1418.97563333333,1805,386.024366666667,"train","UK",3555807.5,3156237.5,"residential","urban"
131,1075.20436666667,1230,154.795633333333,"train","UK",3454237.5,3138617.5,"residential","urban"
138,619.843066666667,237,-382.843066666667,"train","UK",3651947.5,3172782.5,"residential","urban"
142,1485.93473333333,2099,613.065266666667,"train","UK",3600322.5,3210192.5,"residential","urban"
148,1044.48553333333,1103,58.5144666666661,"train","UK",3511312.5,3224522.5,"residential","urban"
150,791.299233333333,616,-175.299233333333,"train","UK",3564532.5,3427772.5,"residential","urban"
155,952.261533333333,701,-251.261533333333,"train","UK",3413317.5,3235032.5,"residential","urban"
161,1063.13316666667,1142,78.866833333333,"train","UK",3569537.5,3137627.5,"residential","urban"
175,1775.6836,2701,925.3164,"train","UK",3409072.5,3245962.5,"residential","urban"
177,1309.66536666667,1552,242.334633333334,"train","UK",3465642.5,3449627.5,"residential","urban"
178,850.6295,643,-207.6295,"train","UK",3688312.5,3276597.5,"residential","urban"
196,822.430633333333,797,-25.430633333333,"train","UK",3560957.5,3467622.5,"residential","urban"
198,726.3018,409,-317.3018,"train","UK",3635652.5,3211357.5,"residential","urban"
7,1035.01553333333,582,-453.015533333333,"test","UK",3481602.5,3137852.5,"residential","urban"
21,1130.64346666667,70,-1060.64346666667,"test","UK",3504962.5,3339727.5,"residential","urban"
28,1050.18453333333,477,-573.184533333333,"test","UK",3557432.5,3473472.5,"residential","urban"
56,1106.59106666667,388,-718.591066666666,"test","UK",3584062.5,3600152.5,"residential","urban"
59,1190.05166666667,675,-515.051666666667,"test","UK",3514287.5,3355122.5,"residential","urban"
68,857.9825,91,-766.9825,"test","UK",3612062.5,3230357.5,"residential","urban"
86,902.207933333333,1626,723.792066666667,"test","UK",3662947.5,3205407.5,"residential","urban"
88,877.188733333333,2447,1569.81126666667,"test","UK",3638337.5,3175427.5,"residential","urban"
92,888.3233,658,-230.3233,"test","UK",3697027.5,3175452.5,"residential","urban"
180,914.106199999999,268,-646.106199999999,"test","UK",3633907.5,3204302.5,"residential","urban"
