"var_name","vi"
"residential_50",424397.332879762
"res_2012_1k",305312.127896602
"pcar2011_20k",253280.248547445
"pcar2011_25k",240538.419528779
"pop2011_20k",215483.625248538
"cveh2011_20k",208633.100496545
"res_2012_1800",202328.931288126
"res_2012_700",197060.110848012
"pop2011_25k",184990.562764008
"res_2012_2k",183383.529778167
"imd_2012_400",182335.446029489
"cveh2011_30k",178115.249702604
"cveh2011_25k",175784.909434052
"res_2012_1500",171835.526222574
"localA_100",167012.315657205
"imd_2012_8k",166347.135756552
"pop2011_100k",164231.259543655
"pcar2011_30k",163732.97287054
"res_2012_1200",163203.400688415
"pop2011_15k",162122.347302752
"cveh2011_45k",158388.108336103
"res_2012_8k",155490.125542484
"pcar2011_45k",153637.787495468
"cveh2011_100k",153236.119344024
"imd_2012_10k",149153.87356943
"res_2012_500",148369.941357716
"unclassified_500",147935.134608755
"res_2012_10k",147488.879223747
"pop2011_30k",147109.029523892
"pcar2011_50k",141649.235657621
"cveh2011_50k",140167.742962584
"pcar2011_15k",139672.722333369
"primary_100",134842.124804537
"pop2011_8k",134826.174540219
"residential_100",134601.272078867
"res_2012_800",134102.397926724
"pop2011_45k",133911.714595683
"pcar2011_10k",133011.041434576
"imd_2012_4k",129958.200064009
"residential_200",129828.014590817
"res_2012_4k",129453.323774037
"res_2012_600",128149.639486514
"slope",123813.910102834
"cveh2011_5k",121809.420928169
"pop2011_50k",120904.608608621
"localA_500",119501.99140736
"residential_300",119117.335167148
"res_2012_6k",119102.815613256
"pcar2011_100k",118462.546914286
"pop2011",115064.723512984
"imd_2012_300",114853.84650892
"imd_2012_5k",114840.074971195
"pop2011_12k",114734.281435097
"res_2012_2500",112610.182631603
"cveh2011_12k",106987.024700697
"res_2012_7k",106258.272057506
"res_2012_3500",102484.434124456
"res_2012_5k",100403.118514917
"pcar2011_12k",100124.350087354
"cveh2011_10k",99536.9589087114
"cveh2011_15k",98992.1776840537
"imd_2012_500",98429.9385457108
"imd_2012_200",96932.9691960899
"elevation",96235.6172244003
"pcar2011_1k",91895.6524689942
"pcar2011_8k",91816.6875014776
"cveh2011_75k",90282.2063284791
"residential_500",89010.3618742546
"maxv_10_residential",86968.569619159
"pop2011_75k",86695.8575814665
"pop2011_10k",84671.6834066855
"pop2011_150k",84491.0895061801
"localA_400",83030.4088046756
"primary_400",82310.8629326497
"pop2011_5k",79608.368587199
"highway_500",79483.0211013351
"imd_2012_800",77696.4037063461
"imd_2012_2k",77441.4316723228
"pcar2011_5k",75713.6443913822
"localA_300",75700.6738259706
"imd_2012_1500",75051.9615651404
"pcar2011_75k",73702.1964322329
"pop2011_1k",71211.1139248965
"imd_2012_6k",71173.515148035
"imd_2012_1200",70451.6723577937
"highway_200",69287.2641288342
"primary_500",67710.1161599771
"res_2012_200",67422.2032197907
"imd_2012_7k",64844.7143804323
"pop2011_200k",63885.7161470297
"unclassified_100",63627.3546894681
"residential_400",61796.7616744367
"localA_200",61418.7511561035
"imd_2012_1800",60096.72028293
"cveh2011_200k",59685.0223956827
"imd_2012_3500",58913.299576997
"imd_2012_600",58853.331238452
"res_2012_300",56308.213652968
"pcar2011_150k",54689.410073433
"res_2012_400",54320.3384676752
"primary_200",51815.2730136592
"cveh2011_150k",50120.8224636371
"cveh2011_1k",48568.6005923659
"pcar2011_200k",46713.4006349593
"imd_2012_1k",45199.7498289244
"unclassified_50",41941.3488728352
"unclassified_400",39127.4556630747
"lane_10_unclassified",38956.8196203533
"cveh2011_8k",36866.2832631609
"highway_400",35962.0677732807
"imd_2012_700",35716.1687427634
"primary_300",34351.2940233601
"imd_2012_100",33631.3740335732
"unclassified_300",30065.1131404745
"unclassified_200",26177.0219253288
"highway_300",26133.838032321
"imd_2012_2500",26018.5573405051
"highway_100",20473.0130839744
"primary_50",13848.5427437824
"localA_50",7160.86125761491
"highway_50",3782.88377216986
"res_2012_100",843.083907851621
"lane_10_primary",0
"lane_10_residential",0
"lane_20_highway",0
"maxv_10_primary",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
"maxv_10_localA",0
"area_type",0
