"var_name","vi"
"imd_2012_3500",14626970.4306985
"imd_2012_4k",14449709.6915353
"imd_2012_1800",14221037.3529726
"res_2012_1800",12541844.0675466
"imd_2012_700",12374485.3444952
"res_2012_2500",12090020.6119109
"res_2012_2k",12080526.0145811
"imd_2012_1k",11894782.3655701
"imd_2012_2500",11309179.5410154
"imd_2012_800",9856367.49774764
"imd_2012_200",9810098.23542958
"res_2012_3500",9741229.87120751
"slope",9596333.52874857
"imd_2012_5k",9058493.43615869
"imd_2012_300",9028900.69743761
"imd_2012_600",8989473.27362809
"res_2012_1200",8976790.45699417
"res_2012_600",8734116.7399758
"res_2012_700",8733530.5956907
"res_2012_5k",8268304.21784484
"imd_2012_500",8125125.12511533
"imd_2012_2k",7994588.92527017
"res_2012_4k",7992625.57508057
"res_2012_1k",7824022.78666993
"res_2012_500",7411792.53119834
"cveh2011_8k",7299871.18192697
"cveh2011_5k",6965543.35740774
"res_2012_6k",6666524.08006988
"imd_2012_400",6574706.6310828
"pop2011_5k",6537433.68840109
"imd_2012_7k",6524314.95223409
"imd_2012_1200",6432196.2907269
"res_2012_800",6171506.22396825
"res_2012_1500",6083325.66233789
"pcar2011_5k",5676118.88238804
"unclassified_100",5539643.3775514
"imd_2012_1500",5509183.21299276
"imd_2012_100",5310498.56099993
"pop2011_1k",5288490.29099335
"res_2012_300",5099735.40846822
"pcar2011_8k",4894761.30122965
"pcar2011_10k",4852168.66395299
"highway_200",4830142.72526954
"elevation",4538920.93768538
"pop2011_8k",4485224.43780324
"imd_2012_6k",4485102.11561948
"pcar2011_1k",4444254.66137998
"pcar2011_20k",4305365.13011607
"residential_500",4294503.0581566
"cveh2011_100k",4170513.35612282
"imd_2012_8k",4153006.99742905
"res_2012_400",3879446.71897856
"res_2012_7k",3779290.40468831
"cveh2011_1k",3748707.65564125
"imd_2012_10k",3738625.47384002
"residential_50",3476335.13289617
"residential_200",3412607.66763424
"pop2011_200k",3208786.53451192
"cveh2011_25k",3155182.77838721
"cveh2011_10k",3092820.18201423
"residential_400",3039896.62690667
"pcar2011_75k",2951416.13629944
"localA_300",2914742.27635585
"localA_100",2896384.0810844
"cveh2011_45k",2842122.13018886
"residential_100",2768449.15472294
"localA_200",2729211.64583907
"cveh2011_12k",2719884.65148814
"localA_50",2702744.07662823
"unclassified_500",2684971.37807177
"res_2012_8k",2656701.22080072
"cveh2011_30k",2585089.53473329
"pcar2011_100k",2579561.90068851
"pop2011_12k",2443448.0764935
"pcar2011_200k",2419621.70866416
"pcar2011_15k",2330783.33376488
"cveh2011_75k",2284656.2571455
"pop2011_10k",2274819.4305715
"unclassified_200",2267801.43720377
"res_2012_10k",2190743.38739174
"pop2011_25k",2161041.99854015
"pop2011_30k",2096805.96691096
"pop2011_15k",2020820.76735665
"pop2011_100k",1933853.3191151
"residential_300",1871762.42065305
"localA_500",1810890.26949576
"pop2011_20k",1794032.63746425
"cveh2011_50k",1755841.18875927
"pcar2011_25k",1751040.90716893
"highway_500",1720500.18398603
"unclassified_50",1671107.79173219
"cveh2011_200k",1660874.27450192
"cveh2011_20k",1653550.78419262
"cveh2011_15k",1637657.41532854
"highway_400",1621211.30297443
"pcar2011_30k",1618356.21279086
"res_2012_200",1608606.70223421
"pop2011",1592254.04037325
"pop2011_45k",1576215.34760849
"primary_500",1549557.85182856
"pop2011_75k",1458236.47249916
"pcar2011_50k",1328154.20430623
"pop2011_50k",1264120.31384844
"pcar2011_150k",1246945.65284166
"pcar2011_45k",982881.540907823
"area_type",933059.479021581
"pcar2011_12k",927698.692980948
"pop2011_150k",849856.504485343
"unclassified_400",806572.667936901
"unclassified_300",796929.076169486
"localA_400",709814.301164094
"cveh2011_150k",685271.926397768
"primary_400",656928.867860101
"highway_300",599429.026388371
"maxv_10_localA",596457.834442432
"res_2012_100",569323.097026458
"primary_300",287981.893847619
"primary_200",158444.12063492
"primary_100",150027.040530952
"primary_50",81038.780892857
"lane_10_unclassified",376.034857142856
"highway_100",0
"highway_50",0
"lane_10_primary",0
"lane_10_residential",0
"lane_20_highway",0
"maxv_10_primary",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
