"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
3,1023.7546,1039,15.2454000000006,"train","UK",3703927.5,3148732.5,"residential","urban"
7,708.6096,582,-126.6096,"train","UK",3481602.5,3137852.5,"residential","urban"
15,718.0882,291,-427.0882,"train","UK",3545087.5,3385937.5,"residential","urban"
16,901.263233333333,1015,113.736766666667,"train","UK",3321637.5,3130087.5,"residential","urban"
20,655.964566666667,493,-162.964566666667,"train","UK",3642272.5,3457277.5,"residential","urban"
21,365.881233333333,70,-295.881233333333,"train","UK",3504962.5,3339727.5,"residential","urban"
26,938.630466666667,983,44.3695333333329,"train","UK",3498567.5,3408007.5,"residential","urban"
28,616.994266666666,477,-139.994266666666,"train","UK",3557432.5,3473472.5,"residential","urban"
29,743.5416,790,46.4584000000001,"train","UK",3579287.5,3601452.5,"residential","urban"
38,742.438433333333,620,-122.438433333333,"train","UK",3653092.5,3428682.5,"residential","urban"
56,586.190766666666,388,-198.190766666666,"train","UK",3584062.5,3600152.5,"residential","urban"
57,974.684,959,-15.6840000000001,"train","UK",3596372.5,3315867.5,"residential","urban"
59,863.238133333333,675,-188.238133333333,"train","UK",3514287.5,3355122.5,"residential","urban"
68,654.044366666666,91,-563.044366666666,"train","UK",3612062.5,3230357.5,"residential","urban"
70,1116.673,955,-161.673,"train","UK",3579757.5,3243602.5,"residential","urban"
71,952.303933333333,863,-89.3039333333332,"train","UK",3467322.5,3489132.5,"residential","urban"
77,1076.1649,1211,134.8351,"train","UK",3688712.5,3276362.5,"residential","urban"
82,634.803933333333,591,-43.8039333333331,"train","UK",3561892.5,3462912.5,"residential","urban"
84,434.031233333333,143,-291.031233333333,"train","UK",3496372.5,3454832.5,"residential","urban"
86,1349.83913333333,1626,276.160866666667,"train","UK",3662947.5,3205407.5,"residential","urban"
88,1682.5782,2447,764.4218,"train","UK",3638337.5,3175427.5,"residential","urban"
92,797.9084,658,-139.9084,"train","UK",3697027.5,3175452.5,"residential","urban"
97,518.650033333333,343,-175.650033333333,"train","UK",3586627.5,3601912.5,"residential","urban"
99,1422.9882,1867,444.0118,"train","UK",3555707.5,3374007.5,"residential","urban"
103,1055.11056666667,1125,69.8894333333335,"train","UK",3641027.5,3455692.5,"residential","urban"
121,1118.77016666667,1075,-43.7701666666658,"train","UK",3571637.5,3200597.5,"residential","urban"
130,1477.46586666667,1805,327.534133333333,"train","UK",3555807.5,3156237.5,"residential","urban"
131,1203.31356666667,1230,26.6864333333331,"train","UK",3454237.5,3138617.5,"residential","urban"
138,599.2722,237,-362.2722,"train","UK",3651947.5,3172782.5,"residential","urban"
142,1513.0966,2099,585.903399999999,"train","UK",3600322.5,3210192.5,"residential","urban"
148,1042.01566666667,1103,60.984333333334,"train","UK",3511312.5,3224522.5,"residential","urban"
155,773.821833333334,701,-72.8218333333336,"train","UK",3413317.5,3235032.5,"residential","urban"
161,1058.10456666667,1142,83.8954333333331,"train","UK",3569537.5,3137627.5,"residential","urban"
177,1215.5994,1552,336.400600000001,"train","UK",3465642.5,3449627.5,"residential","urban"
178,898.6381,643,-255.6381,"train","UK",3688312.5,3276597.5,"residential","urban"
180,533.019566666666,268,-265.019566666666,"train","UK",3633907.5,3204302.5,"residential","urban"
196,685.874,797,111.126,"train","UK",3560957.5,3467622.5,"residential","urban"
198,625.652833333333,409,-216.652833333333,"train","UK",3635652.5,3211357.5,"residential","urban"
11,716.472166666667,1279,562.527833333333,"test","UK",3519892.5,3459172.5,"residential","urban"
14,1041.95333333333,698,-343.953333333333,"test","UK",3401937.5,3716892.5,"residential","urban"
61,1189.73096666667,84,-1105.73096666667,"test","UK",3358872.5,3443442.5,"residential","urban"
74,944.218,442,-502.218,"test","UK",3606302.5,3191157.5,"residential","urban"
78,517.521233333333,1370,852.478766666667,"test","UK",3521547.5,3452202.5,"residential","urban"
125,1219.8454,863,-356.8454,"test","UK",3566332.5,3838252.5,"residential","urban"
126,1076.4653,682,-394.4653,"test","UK",3480302.5,3246847.5,"residential","urban"
127,979.551833333333,1062,82.4481666666669,"test","UK",3425577.5,3270242.5,"residential","urban"
150,806.535566666667,616,-190.535566666667,"test","UK",3564532.5,3427772.5,"residential","urban"
175,808.560333333333,2701,1892.43966666667,"test","UK",3409072.5,3245962.5,"residential","urban"
