"var_name","vi"
"lane_20_highway",2959814244.3394
"highway_200",2512225801.10903
"highway_300",2270639165.78226
"highway_400",1869208740.33012
"imd_2012_10k",1796962560.65056
"pop2011_12k",1716881468.0917
"res_2012_10k",1520821231.10405
"highway_500",1485188474.76503
"pcar2011_12k",1331675106.16938
"highway_50",1321798970.54776
"pop2011_20k",1313472999.0928
"cveh2011_15k",1170936349.42478
"pop2011_100k",1118686446.75727
"pop2011_10k",1112570670.36703
"pcar2011_20k",1084593994.38578
"pcar2011_150k",1082209206.16334
"pop2011_15k",1077784358.40149
"cveh2011_100k",1034384858.47462
"imd_2012_8k",1027860706.05176
"pcar2011_100k",1004059522.62646
"pop2011_150k",957105166.319993
"pcar2011_10k",944621584.28314
"maxv_20_highway",890154172.478504
"cveh2011_10k",877974552.161011
"imd_2012_6k",864589796.193707
"pop2011_8k",852982553.810719
"residential_400",829792194.963771
"pcar2011_15k",820096184.889304
"cveh2011_12k",792098042.456662
"cveh2011_20k",757280842.433745
"pcar2011_25k",755780569.868575
"imd_2012_7k",753189859.834593
"residential_200",712828411.352136
"pop2011_50k",697581551.181027
"pcar2011_30k",689845802.049375
"res_2012_8k",670929873.446643
"residential_300",649818063.465324
"pop2011_25k",646641699.712537
"res_2012_500",633763330.212691
"cveh2011_150k",621081261.876726
"pcar2011_8k",597844063.089765
"highway_100",576632832.797564
"pop2011_75k",576402603.323771
"cveh2011_45k",566936925.670703
"pop2011_45k",558468371.242136
"res_2012_200",536560079.615399
"cveh2011_8k",531024483.54354
"pcar2011_75k",523973612.461127
"res_2012_100",504233771.975124
"cveh2011_25k",473580734.366451
"pcar2011_200k",468665244.820697
"pop2011_30k",458429146.969705
"res_2012_600",455058434.144741
"res_2012_5k",454006432.515845
"res_2012_1k",438420914.158211
"pcar2011_50k",434249651.283566
"cveh2011_75k",432607246.509195
"res_2012_4k",426971702.298026
"imd_2012_4k",425968875.995808
"res_2012_300",425864852.634358
"residential_500",422825000.377755
"imd_2012_5k",418301039.973313
"res_2012_6k",401328553.021934
"pcar2011_45k",399506124.054054
"cveh2011_30k",391431531.393704
"res_2012_400",391108163.268209
"pop2011_200k",383706985.290837
"imd_2012_1800",380483051.396179
"primary_500",379190009.243441
"cveh2011_200k",372458113.872661
"res_2012_800",367049952.432718
"res_2012_7k",364628345.613754
"imd_2012_700",355277069.853016
"imd_2012_800",354427908.34329
"imd_2012_3500",347656187.813711
"res_2012_1200",344896929.867859
"res_2012_2500",336876211.931927
"pcar2011_1k",331865800.721432
"imd_2012_200",330655494.893182
"res_2012_700",329007774.921673
"imd_2012_300",321301769.473695
"pop2011_1k",318994759.575355
"imd_2012_2500",314557868.706513
"elevation",300992363.972203
"cveh2011_50k",294261217.097727
"cveh2011_1k",294105430.867503
"res_2012_1500",291496639.077062
"imd_2012_600",291337639.408509
"slope",284121438.06197
"res_2012_1800",271667833.462294
"res_2012_2k",270031656.475349
"localA_400",268330858.656901
"imd_2012_1200",266558922.682971
"pop2011_5k",263773128.972513
"imd_2012_1k",239268141.106192
"imd_2012_400",236856560.232562
"res_2012_3500",226976387.096589
"imd_2012_1500",217358326.994809
"imd_2012_500",209109034.80166
"cveh2011_5k",201066245.572763
"unclassified_400",195893559.105041
"residential_100",195334623.668425
"pcar2011_5k",183057632.705966
"pop2011",181618328.431189
"localA_200",161339599.905066
"imd_2012_2k",161287645.915202
"localA_500",160971693.516916
"localA_300",154900075.269977
"imd_2012_100",154178556.547481
"unclassified_500",140751289.87307
"area_type",139507979.245092
"primary_400",134199520.052503
"primary_200",120405043.72688
"unclassified_300",110635494.482657
"primary_100",91249610.50831
"residential_50",84190911.341097
"unclassified_200",77950375.0687802
"primary_50",65183209.7029602
"primary_300",50444575.5953449
"localA_50",47914780.1388274
"localA_100",40818773.0359432
"unclassified_50",19153270.4011438
"unclassified_100",15941644.9321927
"lane_10_primary",5758081.28126284
"maxv_10_primary",2424822.3870238
"lane_10_unclassified",14143.4906666665
"lane_10_residential",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"lane_10_localA",0
"maxv_10_localA",0
