"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
4,13416.4712926941,2841,-10575.4712926941,"train","UK",3468782.5,3284372.5,"highway","rural"
24,60434.2258152511,66156,5721.77418474887,"train","DE",4194542.5,3191292.5,"highway","rural"
25,103474.269653242,120210,16735.730346758,"train","UK",3576412.5,3207177.5,"highway","rural"
30,69171.3579681278,76421,7249.64203187216,"train","DE",4392702.5,2939942.5,"highway","urban"
37,40126.1211367124,28049.6821917808,-12076.4389449316,"train","CH",4244877.5,2525732.5,"highway","urban"
40,45621.5540382648,35176,-10445.5540382648,"train","UK",3451247.5,3224382.5,"highway","urban"
41,28701.0329926027,33518,4816.96700739726,"train","UK",3675487.5,3282567.5,"highway","urban"
47,44520.7567233789,39505.9397260274,-5014.8169973515,"train","CH",4121747.5,2652177.5,"highway","urban"
48,23014.5467475799,20275,-2739.54674757989,"train","UK",3522707.5,3721547.5,"highway","rural"
50,133889.084515525,163456,29566.9154844749,"train","UK",3595207.5,3206067.5,"highway","rural"
52,97370.9371736073,95364,-2006.93717360734,"train","UK",3596652.5,3213262.5,"highway","urban"
53,47379.9750413698,39657,-7722.97504136984,"train","UK",3629547.5,3319897.5,"highway","urban"
58,118375.322414247,138454,20078.6775857534,"train","UK",3529207.5,3326907.5,"highway","rural"
60,34921.6515293151,24111,-10810.6515293151,"train","UK",3578352.5,3603202.5,"highway","urban"
62,79888.7260378082,79091,-797.726037808185,"train","UK",3610807.5,3209127.5,"highway","urban"
66,32910.873867032,27450,-5460.87386703198,"train","UK",3464037.5,3418097.5,"highway","urban"
69,23547.1124274886,16211,-7336.11242748859,"train","UK",3526947.5,3375127.5,"highway","urban"
76,47599.4289161644,32043,-15556.4289161644,"train","UK",3518127.5,3328217.5,"highway","urban"
83,105642.156571507,132205,26562.8434284931,"train","UK",3507762.5,3438532.5,"highway","urban"
89,92073.4761344292,107992,15918.5238655708,"train","UK",3499902.5,3406302.5,"highway","rural"
93,18791.3881124201,2451,-16340.3881124201,"train","DE",4349027.5,2729617.5,"highway","rural"
94,24612.8805423744,15492,-9120.88054237443,"train","UK",3641502.5,3158952.5,"highway","urban"
96,35020.9348435617,19055,-15965.9348435617,"train","UK",3612182.5,3188277.5,"highway","urban"
100,78994.0055928767,97045,18050.9944071233,"train","UK",3564637.5,3304757.5,"highway","rural"
102,29100.769436895,21772,-7328.76943689496,"train","UK",3510632.5,3292627.5,"highway","rural"
105,24038.0033384475,8114,-15924.0033384475,"train","UK",3609192.5,3128222.5,"highway","urban"
107,41729.4357868493,29617,-12112.4357868493,"train","DE",4389252.5,3087217.5,"highway","rural"
117,70330.7417336986,66918,-3412.7417336986,"train","DE",4188432.5,2989267.5,"highway","rural"
118,48667.7504251141,39002,-9665.75042511411,"train","UK",3462092.5,3449787.5,"highway","urban"
129,37470.3280047489,21485,-15985.3280047489,"train","UK",3526967.5,3438102.5,"highway","urban"
132,62726.9369468493,50466,-12260.9369468493,"train","UK",3560987.5,3365212.5,"highway","rural"
136,26604.1406273059,25737,-867.140627305907,"train","IT",4557632.5,2298722.5,"highway","urban"
140,19503.8881922375,16687,-2816.88819223745,"train","FR",3472742.5,2367312.5,"highway","urban"
147,65692.2574629223,70005,4312.74253707766,"train","DE",4293557.5,3137782.5,"highway","urban"
149,10776.1537926941,4490,-6286.15379269406,"train","UK",3414722.5,3150247.5,"highway","urban"
157,98440.710387032,133436,34995.289612968,"train","UK",3528582.5,3152787.5,"highway","urban"
158,57934.8951328767,52351,-5583.89513287668,"train","DE",4126897.5,3077432.5,"highway","urban"
159,94695.988536621,110976,16280.011463379,"train","FR",3484772.5,2467327.5,"highway","urban"
163,67155.2741894977,48976,-18179.2741894977,"train","UK",3544027.5,3313532.5,"highway","urban"
164,60368.8730986301,65815,5446.12690136989,"train","DE",4473672.5,2882557.5,"highway","urban"
