"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
4,15866.9993822831,2841,-13025.9993822831,"train","UK",3468782.5,3284372.5,"highway","rural"
10,84400.9174105023,85462,1061.08258949773,"train","UK",3565987.5,3187737.5,"highway","urban"
24,61391.6629924201,66156,4764.33700757991,"train","DE",4194542.5,3191292.5,"highway","rural"
25,104589.17601863,120210,15620.8239813699,"train","UK",3576412.5,3207177.5,"highway","rural"
40,40123.7078099543,35176,-4947.70780995431,"train","UK",3451247.5,3224382.5,"highway","urban"
41,31917.4282657534,33518,1600.57173424656,"train","UK",3675487.5,3282567.5,"highway","urban"
47,42320.106809315,39505.9397260274,-2814.16708328762,"train","CH",4121747.5,2652177.5,"highway","urban"
48,23491.5267188128,20275,-3216.52671881278,"train","UK",3522707.5,3721547.5,"highway","rural"
50,132707.716884475,163456,30748.2831155251,"train","UK",3595207.5,3206067.5,"highway","rural"
52,98376.5935787215,95364,-3012.59357872151,"train","UK",3596652.5,3213262.5,"highway","urban"
53,48946.785999452,39657,-9289.78599945204,"train","UK",3629547.5,3319897.5,"highway","urban"
58,124018.410058539,138454,14435.5899414612,"train","UK",3529207.5,3326907.5,"highway","rural"
60,30874.9205048402,24111,-6763.9205048402,"train","UK",3578352.5,3603202.5,"highway","urban"
62,70141.3136822831,79091,8949.68631771691,"train","UK",3610807.5,3209127.5,"highway","urban"
64,54539.492270137,54738,198.507729863035,"train","UK",3551877.5,3186717.5,"highway","urban"
65,42982.8440871233,51867,8884.1559128767,"train","DE",4364267.5,2810762.5,"highway","rural"
69,25072.7129789954,16211,-8861.71297899545,"train","UK",3526947.5,3375127.5,"highway","urban"
83,106333.90305379,132205,25871.09694621,"train","UK",3507762.5,3438532.5,"highway","urban"
89,95457.4112985388,107992,12534.5887014612,"train","UK",3499902.5,3406302.5,"highway","rural"
90,13513.0239607306,6296,-7217.02396073058,"train","FR",3776857.5,2752177.5,"highway","urban"
93,18128.9371514155,2451,-15677.9371514155,"train","DE",4349027.5,2729617.5,"highway","rural"
94,24097.3692395434,15492,-8605.3692395434,"train","UK",3641502.5,3158952.5,"highway","urban"
96,29123.3283702283,19055,-10068.3283702283,"train","UK",3612182.5,3188277.5,"highway","urban"
100,82435.4950652055,97045,14609.5049347945,"train","UK",3564637.5,3304757.5,"highway","rural"
105,22655.7727598174,8114,-14541.7727598174,"train","UK",3609192.5,3128222.5,"highway","urban"
107,40466.2212052055,29617,-10849.2212052055,"train","DE",4389252.5,3087217.5,"highway","rural"
108,73834.387399452,66069,-7765.38739945203,"train","UK",3497307.5,3472497.5,"highway","rural"
114,64945.4086758904,55518,-9427.4086758904,"train","UK",3600882.5,3205282.5,"highway","urban"
118,45596.7820122374,39002,-6594.78201223744,"train","UK",3462092.5,3449787.5,"highway","urban"
119,17187.3377655708,12024,-5163.33776557077,"train","DE",4083347.5,2993867.5,"highway","rural"
128,30079.7597461187,25115,-4964.75974611873,"train","UK",3618657.5,3195482.5,"highway","urban"
129,41161.3327231964,21485,-19676.3327231964,"train","UK",3526967.5,3438102.5,"highway","urban"
136,26383.3261585388,25737,-646.326158538817,"train","IT",4557632.5,2298722.5,"highway","urban"
140,19097.5343731507,16687,-2410.53437315068,"train","FR",3472742.5,2367312.5,"highway","urban"
147,65330.0547373516,70005,4674.94526264842,"train","DE",4293557.5,3137782.5,"highway","urban"
153,21185.8726616438,19757,-1428.87266164384,"train","UK",3463787.5,3528962.5,"highway","rural"
157,97819.4118584475,133436,35616.5881415525,"train","UK",3528582.5,3152787.5,"highway","urban"
158,61222.4792486758,52351,-8871.47924867582,"train","DE",4126897.5,3077432.5,"highway","urban"
163,62649.0268257534,48976,-13673.0268257534,"train","UK",3544027.5,3313532.5,"highway","urban"
164,54356.0529790867,65815,11458.9470209133,"train","DE",4473672.5,2882557.5,"highway","urban"
165,37668.8170761644,30286,-7382.81707616437,"train","UK",3615142.5,3198977.5,"highway","urban"
169,45898.3276011873,35074.0438356164,-10824.2837655708,"train","CH",4292437.5,2694952.5,"highway","urban"
171,63353.383186484,80169.4657534247,16816.0825669407,"train","CH",4052387.5,2606622.5,"highway","urban"
172,52386.9865221918,54534,2147.01347780824,"train","UK",3520467.5,3482157.5,"highway","urban"
174,75279.1469660274,86831,11551.8530339726,"train","UK",3502312.5,3451797.5,"highway","urban"
176,51817.7337557077,61556,9738.26624429225,"train","DE",4306177.5,2959827.5,"highway","rural"
187,32639.2304888585,25801.7342465753,-6837.4962422832,"train","CH",4211432.5,2660137.5,"highway","urban"
188,39299.5524760731,17757,-21542.5524760731,"train","UK",3484097.5,3454642.5,"highway","urban"
189,67529.2674949772,67889,359.732505022839,"train","UK",3646527.5,3281927.5,"highway","urban"
