"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
1,5032.79329315068,3025,-2007.79329315068,"train","IT",4545207.5,1650937.5,"primary","rural"
2,2918.89213333334,1192,-1726.89213333334,"train","IT",4722447.5,1649857.5,"primary","rural"
6,6500.74251351598,4777,-1723.74251351598,"train","DE",4058852.5,2942957.5,"primary","urban"
12,5694.28456666667,4672,-1022.28456666667,"train","IT",4623577.5,2137757.5,"primary","rural"
13,22540.407713516,27510,4969.59228648401,"train","UK",3574572.5,3426422.5,"primary","urban"
17,2315.66056666667,237,-2078.66056666667,"train","IT",4267502.5,1964552.5,"primary","rural"
18,11175.1413281279,11611,435.858671872138,"train","UK",3612047.5,3550782.5,"primary","rural"
22,5050.93534118722,3884,-1166.93534118722,"train","IT",4328382.5,2344737.5,"primary","rural"
23,5244.99316666667,4738,-506.993166666668,"train","DE",4495002.5,3310327.5,"primary","rural"
31,7580.49970200914,6860,-720.499702009136,"train","UK",3644797.5,3515812.5,"primary","rural"
32,5434.26616666667,6026,591.733833333333,"train","IT",4813117.5,1909257.5,"primary","rural"
36,21578.2396365297,29889,8310.76036347031,"train","UK",3590227.5,3842087.5,"primary","urban"
42,6368.12543333333,7517,1148.87456666667,"train","DE",4579902.5,3426507.5,"primary","rural"
49,17674.1640661187,18714,1039.83593388128,"train","AT",4786417.5,2800252.5,"primary","urban"
51,9500.52946639269,8586,-914.529466392694,"train","UK",3647527.5,3438622.5,"primary","rural"
55,10440.4063007306,6080,-4360.40630073059,"train","UK",3403377.5,3249902.5,"primary","urban"
63,7071.68672949772,6709,-362.686729497718,"train","FR",3482927.5,2364417.5,"primary","rural"
67,7587.86164922374,4248,-3339.86164922374,"train","UK",3467427.5,3196792.5,"primary","rural"
79,18803.1604145205,22722,3918.83958547945,"train","UK",3462992.5,3753397.5,"primary","rural"
87,7269.30273543379,1085,-6184.30273543379,"train","DE",4142952.5,2719357.5,"primary","urban"
95,17836.9219655708,15715,-2121.92196557076,"train","UK",3463237.5,3445747.5,"primary","urban"
98,17900.4751211872,18735,834.52487881279,"train","UK",3654692.5,3214572.5,"primary","rural"
106,11274.082103105,11877,602.917896894973,"train","FR",3481222.5,2312372.5,"primary","urban"
109,15218.0926155251,15204,-14.0926155251109,"train","UK",3449587.5,3708132.5,"primary","rural"
115,20550.2221590868,20881,330.777840913241,"train","UK",3621817.5,3211807.5,"primary","urban"
122,7478.28367452055,7449,-29.2836745205486,"train","DE",4422942.5,3422392.5,"primary","rural"
133,7221.98196575342,6057,-1164.98196575342,"train","UK",3434452.5,3623307.5,"primary","urban"
134,11407.5296068493,12072,664.470393150685,"train","IT",4779172.5,1689202.5,"primary","urban"
135,15619.6074489498,17451.1863013699,1831.57885242013,"train","CH",4163957.5,2695372.5,"primary","urban"
137,3325.94035981735,2517,-808.940359817354,"train","UK",3407022.5,3758007.5,"primary","rural"
152,17333.4364442922,23202,5868.56355570777,"train","IT",4333477.5,2414182.5,"primary","rural"
160,5899.91952748858,5710,-189.919527488582,"train","FR",3755122.5,2771412.5,"primary","rural"
166,12919.9576294064,10579,-2340.95762940639,"train","UK",3565587.5,3461567.5,"primary","urban"
173,8567.85353333333,10914,2346.14646666667,"train","DE",4528582.5,2732507.5,"primary","rural"
183,12139.5808422831,13691,1551.41915771689,"train","IT",4320477.5,2419357.5,"primary","rural"
185,17131.6894595434,16305,-826.689459543366,"train","UK",3499422.5,3455082.5,"primary","urban"
192,2549.82526666667,1387,-1162.82526666667,"train","FR",3679897.5,2547882.5,"primary","rural"
5,3591.3494,3473,-118.349400000004,"test","IT",4592267.5,1626487.5,"primary","rural"
9,20368.5299683105,19237,-1131.5299683105,"test","UK",3612662.5,3193792.5,"primary","urban"
123,14750.1893849315,18710,3959.81061506849,"test","UK",3557557.5,3465962.5,"primary","rural"
145,5379.27953333333,7330,1950.72046666667,"test","IT",4617192.5,2141787.5,"primary","rural"
179,20393.2317906849,2113,-18280.2317906849,"test","UK",3587227.5,3210947.5,"primary","urban"
