"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
10,78742.7627078539,85462,6719.23729214611,"train","UK",3565987.5,3187737.5,"highway","urban"
24,58144.6302830137,66156,8011.36971698632,"train","DE",4194542.5,3191292.5,"highway","rural"
25,100870.396504749,120210,19339.6034952511,"train","UK",3576412.5,3207177.5,"highway","rural"
30,66205.8743752511,76421,10215.1256247489,"train","DE",4392702.5,2939942.5,"highway","urban"
37,39081.1893694065,28049.6821917808,-11031.5071776257,"train","CH",4244877.5,2525732.5,"highway","urban"
41,29648.2035779909,33518,3869.79642200914,"train","UK",3675487.5,3282567.5,"highway","urban"
50,130690.385369954,163456,32765.6146300457,"train","UK",3595207.5,3206067.5,"highway","rural"
52,94052.5113473973,95364,1311.48865260271,"train","UK",3596652.5,3213262.5,"highway","urban"
53,48862.181883379,39657,-9205.18188337897,"train","UK",3629547.5,3319897.5,"highway","urban"
58,114929.954942009,138454,23524.0450579909,"train","UK",3529207.5,3326907.5,"highway","rural"
64,55436.3960507763,54738,-698.396050776268,"train","UK",3551877.5,3186717.5,"highway","urban"
65,40951.962893242,51867,10915.037106758,"train","DE",4364267.5,2810762.5,"highway","rural"
66,35726.767216621,27450,-8276.76721662102,"train","UK",3464037.5,3418097.5,"highway","urban"
69,24712.226540274,16211,-8501.22654027396,"train","UK",3526947.5,3375127.5,"highway","urban"
76,47473.7865372603,32043,-15430.7865372603,"train","UK",3518127.5,3328217.5,"highway","urban"
83,103326.921530776,132205,28878.0784692238,"train","UK",3507762.5,3438532.5,"highway","urban"
89,87790.6374434703,107992,20201.3625565297,"train","UK",3499902.5,3406302.5,"highway","rural"
90,13057.3017558904,6296,-6761.30175589041,"train","FR",3776857.5,2752177.5,"highway","urban"
93,17060.0084250228,2451,-14609.0084250228,"train","DE",4349027.5,2729617.5,"highway","rural"
94,27921.4857446575,15492,-12429.4857446575,"train","UK",3641502.5,3158952.5,"highway","urban"
100,76759.0465525114,97045,20285.9534474886,"train","UK",3564637.5,3304757.5,"highway","rural"
102,29508.9198538813,21772,-7736.91985388129,"train","UK",3510632.5,3292627.5,"highway","rural"
107,39355.9338351598,29617,-9738.93383515981,"train","DE",4389252.5,3087217.5,"highway","rural"
108,70676.3437231963,66069,-4607.34372319635,"train","UK",3497307.5,3472497.5,"highway","rural"
114,67887.78616,55518,-12369.78616,"train","UK",3600882.5,3205282.5,"highway","urban"
117,69420.7441730594,66918,-2502.74417305937,"train","DE",4188432.5,2989267.5,"highway","rural"
118,49927.8371127854,39002,-10925.8371127854,"train","UK",3462092.5,3449787.5,"highway","urban"
119,17789.8141408219,12024,-5765.81414082192,"train","DE",4083347.5,2993867.5,"highway","rural"
128,37732.7747421005,25115,-12617.7747421005,"train","UK",3618657.5,3195482.5,"highway","urban"
129,36465.1967265753,21485,-14980.1967265753,"train","UK",3526967.5,3438102.5,"highway","urban"
132,64391.5571527854,50466,-13925.5571527854,"train","UK",3560987.5,3365212.5,"highway","rural"
136,25593.1132322374,25737,143.88676776256,"train","IT",4557632.5,2298722.5,"highway","urban"
147,66071.4010869406,70005,3933.59891305938,"train","DE",4293557.5,3137782.5,"highway","urban"
149,12324.2414955251,4490,-7834.24149552511,"train","UK",3414722.5,3150247.5,"highway","urban"
153,23479.4037181735,19757,-3722.40371817351,"train","UK",3463787.5,3528962.5,"highway","rural"
159,92565.4636429223,110976,18410.5363570777,"train","FR",3484772.5,2467327.5,"highway","urban"
163,62665.1232649315,48976,-13689.1232649315,"train","UK",3544027.5,3313532.5,"highway","urban"
164,58116.4427043835,65815,7698.55729561648,"train","DE",4473672.5,2882557.5,"highway","urban"
165,43874.2790785388,30286,-13588.2790785388,"train","UK",3615142.5,3198977.5,"highway","urban"
167,62540.8437275799,64338,1797.15627242008,"train","UK",3511307.5,3442717.5,"highway","urban"
169,46132.0694524201,35074.0438356164,-11058.0256168037,"train","CH",4292437.5,2694952.5,"highway","urban"
171,68270.1482431963,80169.4657534247,11899.3175102284,"train","CH",4052387.5,2606622.5,"highway","urban"
172,52749.071236347,54534,1784.92876365296,"train","UK",3520467.5,3482157.5,"highway","urban"
174,80124.2413153424,86831,6706.75868465756,"train","UK",3502312.5,3451797.5,"highway","urban"
184,59395.2931955251,49544,-9851.29319552512,"train","UK",3609637.5,3230562.5,"highway","urban"
186,48816.9999195434,42851,-5965.99991954338,"train","UK",3553507.5,3376857.5,"highway","urban"
187,29777.5977430137,25801.7342465753,-3975.86349643842,"train","CH",4211432.5,2660137.5,"highway","urban"
188,37265.0755308676,17757,-19508.0755308676,"train","UK",3484097.5,3454642.5,"highway","urban"
189,63570.4334834703,67889,4318.56651652967,"train","UK",3646527.5,3281927.5,"highway","urban"
193,83068.460783105,85662,2593.53921689498,"train","DE",4113052.5,3093972.5,"highway","urban"
194,47892.5266245662,40358,-7534.52662456624,"train","FR",3625027.5,2304817.5,"highway","urban"
195,93434.4287854795,119469,26034.5712145205,"train","UK",3602877.5,3250827.5,"highway","urban"
197,17691.0350842922,18514,822.964915707766,"train","DE",4378437.5,3466272.5,"highway","urban"
200,22588.7254834703,12358,-10230.7254834703,"train","UK",3712292.5,3224472.5,"highway","urban"
4,27972.4127273973,2841,-25131.4127273973,"test","UK",3468782.5,3284372.5,"highway","rural"
40,59220.0788052055,35176,-24044.0788052055,"test","UK",3451247.5,3224382.5,"highway","urban"
47,57336.6384313242,39505.9397260274,-17830.6987052968,"test","CH",4121747.5,2652177.5,"highway","urban"
48,29122.5427045662,20275,-8847.54270456621,"test","UK",3522707.5,3721547.5,"highway","rural"
60,52350.3659219178,24111,-28239.3659219178,"test","UK",3578352.5,3603202.5,"highway","urban"
62,73108.1532210959,79091,5982.84677890412,"test","UK",3610807.5,3209127.5,"highway","urban"
96,49278.3725131507,19055,-30223.3725131507,"test","UK",3612182.5,3188277.5,"highway","urban"
105,48468.5881355251,8114,-40354.5881355251,"test","UK",3609192.5,3128222.5,"highway","urban"
140,21980.549193242,16687,-5293.549193242,"test","FR",3472742.5,2367312.5,"highway","urban"
157,57225.8363422831,133436,76210.1636577169,"test","UK",3528582.5,3152787.5,"highway","urban"
158,66349.0180789954,52351,-13998.0180789954,"test","DE",4126897.5,3077432.5,"highway","urban"
176,38881.1542283105,61556,22674.8457716895,"test","DE",4306177.5,2959827.5,"highway","rural"
190,47778.6647821005,36589,-11189.6647821005,"test","UK",3626692.5,3195982.5,"highway","urban"
