"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
8,6596.88346666666,5387,-1209.88346666666,"train","UK",3571617.5,3375322.5,"localA","urban"
19,1458.00377178082,1005,-453.003771780822,"train","IT",4741312.5,1632582.5,"localA","rural"
27,4250.86926666667,2888,-1362.86926666667,"train","UK",3572412.5,3194962.5,"localA","urban"
33,2195.97312931507,2242,46.0268706849301,"train","UK",3642277.5,3362002.5,"localA","rural"
35,5864.0269169863,6314,449.9730830137,"train","UK",3619262.5,3131822.5,"localA","urban"
39,2169.19319954338,1252,-917.193199543379,"train","UK",3641702.5,3179732.5,"localA","rural"
43,3150.5773252968,2629,-521.577325296803,"train","UK",3424282.5,3262842.5,"localA","rural"
46,1391.79560447488,1343,-48.7956044748848,"train","IT",4904697.5,1854922.5,"localA","rural"
54,3794.79997689498,3162,-632.799976894979,"train","IT",4711787.5,1628192.5,"localA","urban"
72,8777.1521,8981,203.847900000002,"train","UK",3604567.5,3197112.5,"localA","urban"
73,10286.406,12590,2303.594,"train","UK",3512977.5,3438207.5,"localA","urban"
75,1402.72981789954,779,-623.729817899543,"train","UK",3645207.5,3364352.5,"localA","rural"
81,10809.6219051142,14116,3306.37809488585,"train","UK",3642392.5,3455702.5,"localA","urban"
85,6350.6408,5024,-1326.6408,"train","UK",3503057.5,3336032.5,"localA","urban"
91,8801.84946666666,10386,1584.15053333334,"train","UK",3576577.5,3483412.5,"localA","urban"
101,6687.16183333333,6275,-412.16183333333,"train","AT",4786432.5,2799512.5,"localA","urban"
111,2914.3902,2780,-134.390200000001,"train","UK",3448567.5,3286492.5,"localA","rural"
112,1091.59885223744,940,-151.598852237443,"train","FR",3550712.5,2278722.5,"localA","rural"
113,8563.75079999999,10446,1882.24920000001,"train","UK",3538127.5,3485952.5,"localA","urban"
116,1420.19294703196,805,-615.192947031964,"train","UK",3560397.5,3497842.5,"localA","rural"
120,5927.46376666666,6548,620.536233333336,"train","UK",3574932.5,3197687.5,"localA","urban"
124,2371.99558392694,3311,939.004416073058,"train","UK",3501022.5,3158822.5,"localA","rural"
139,10282.9843056621,12917,2634.0156943379,"train","UK",3749442.5,3294687.5,"localA","urban"
141,1849.84203890411,1916,66.1579610958911,"train","UK",3724732.5,3324872.5,"localA","rural"
143,1029.83425260274,771,-258.83425260274,"train","UK",3583957.5,3669372.5,"localA","rural"
144,929.82451762557,496,-433.82451762557,"train","UK",3469947.5,3641117.5,"localA","rural"
146,2665.89410876712,2202,-463.894108767125,"train","UK",3541672.5,3262842.5,"localA","rural"
151,5776.62275031963,4937,-839.622750319632,"train","UK",3719577.5,3237892.5,"localA","urban"
154,4446.31373333333,3247,-1199.31373333333,"train","UK",3493977.5,3414147.5,"localA","urban"
156,1527.7168173516,1625.0904109589,97.3735936073033,"train","CH",4299942.5,2621007.5,"localA","rural"
162,6443.99850739726,5141,-1302.99850739726,"train","UK",3518177.5,3684507.5,"localA","urban"
168,8252.6336716895,12574,4321.3663283105,"train","DE",4483962.5,2841927.5,"localA","urban"
170,2206.21408721461,1863,-343.214087214613,"train","UK",3573532.5,3207967.5,"localA","rural"
181,10730.029702831,12441,1710.97029716895,"train","UK",3509382.5,3334452.5,"localA","urban"
182,4638.62663616439,2773,-1865.62663616439,"train","UK",3454042.5,3432592.5,"localA","urban"
191,3866.75543333334,2034,-1832.75543333334,"train","UK",3550282.5,3353262.5,"localA","urban"
34,5294.61188146119,794,-4500.61188146119,"test","UK",3579757.5,3270437.5,"localA","urban"
44,3905.41074785388,4203,297.589252146121,"test","UK",3582192.5,3437302.5,"localA","rural"
45,1385.59178739726,4938,3552.40821260274,"test","UK",3344312.5,3206142.5,"localA","rural"
80,6014.08165926941,716,-5298.08165926941,"test","UK",3408777.5,3697842.5,"localA","urban"
104,6751.22474621004,7456,704.775253789956,"test","UK",3506842.5,3717672.5,"localA","urban"
110,2657.22609972603,2965,307.773900273971,"test","UK",3342002.5,3276492.5,"localA","rural"
199,6206.9648,5728,-478.964799999996,"test","UK",3559767.5,3408222.5,"localA","urban"
