"var_name","vi"
"pcar2011_12k",62091696.9003981
"primary_400",57979629.9281934
"primary_500",56091705.5450281
"cveh2011_12k",55381459.3165313
"primary_300",55310557.121012
"imd_2012_10k",49452219.2463722
"pcar2011_10k",45086449.6636752
"pop2011_12k",43478286.4514184
"pop2011_45k",42346570.7174823
"imd_2012_5k",39161324.7860958
"pop2011_10k",38969751.9514371
"pcar2011_15k",37683891.9712729
"pop2011_15k",35279180.629667
"imd_2012_4k",33378415.7515685
"pop2011_5k",30982813.1796596
"pcar2011_50k",30840303.2990019
"primary_200",29308756.214242
"pop2011_50k",28155017.7302494
"cveh2011_15k",27804272.3410386
"cveh2011_50k",27330681.7576146
"pcar2011_45k",27296562.9371591
"imd_2012_7k",27196610.438938
"imd_2012_8k",26455756.2390798
"imd_2012_6k",26264968.4446131
"cveh2011_20k",25221420.0908177
"elevation",24651738.5611814
"pcar2011_150k",24252482.861334
"pop2011_30k",23500080.8805665
"res_2012_1200",23405646.4911871
"imd_2012_1k",23379769.2129272
"pcar2011_75k",22986286.0362993
"cveh2011_10k",22450671.5471742
"imd_2012_800",20555380.7974009
"pop2011_20k",20383792.6181073
"cveh2011_100k",20301732.6736776
"pop2011",20110024.4320703
"slope",20018311.8928401
"pop2011_8k",19311679.39903
"res_2012_1500",18584347.6919824
"cveh2011_30k",18467024.1651711
"cveh2011_45k",18458714.0787699
"unclassified_400",18187596.4214414
"pcar2011_100k",17716953.8100522
"res_2012_2k",17660006.4382394
"pcar2011_8k",17630436.9612388
"pcar2011_200k",16486078.0021304
"primary_100",16271952.0063533
"pop2011_200k",15073792.681135
"cveh2011_200k",14366948.3921123
"imd_2012_400",14139269.8861583
"res_2012_6k",14132945.5515404
"imd_2012_1200",13897110.4050588
"cveh2011_75k",13848977.6968394
"cveh2011_1k",13778812.9117561
"res_2012_5k",13531746.4024749
"res_2012_10k",13470182.0328846
"res_2012_4k",13444314.7322076
"res_2012_1800",13398030.4567337
"cveh2011_25k",12986205.0371973
"cveh2011_8k",12963829.8729653
"imd_2012_200",12920011.3725546
"cveh2011_150k",12766528.0473026
"pop2011_25k",12303145.8352393
"unclassified_300",12254722.0003753
"res_2012_800",12007361.1112343
"localA_300",11970774.3388162
"imd_2012_2500",11495965.822104
"imd_2012_3500",11171279.5263962
"localA_400",11038508.6615603
"pcar2011_5k",10860998.1164546
"imd_2012_700",10802240.8643842
"imd_2012_500",10607798.1023324
"lane_10_unclassified",10527481.3074774
"residential_500",10319432.6128585
"res_2012_8k",10283606.1805852
"pop2011_150k",10052094.8960997
"imd_2012_1500",9950626.48586738
"pcar2011_30k",9936750.92297402
"res_2012_7k",9790140.97961281
"pcar2011_25k",9196008.54406387
"res_2012_600",9187612.46730593
"imd_2012_600",9186792.08729085
"pcar2011_20k",9099650.50876267
"pcar2011_1k",9044855.12792099
"localA_100",9019144.90540367
"residential_200",8900366.73882613
"pop2011_1k",8864351.95687869
"res_2012_3500",8699002.65034015
"res_2012_500",8659592.03088256
"pop2011_75k",8590834.85389199
"imd_2012_300",8577620.96858793
"unclassified_500",8564806.4556692
"pop2011_100k",8490993.13189745
"cveh2011_5k",8350449.21646522
"maxv_10_primary",8240065.70808612
"primary_50",7883516.83821455
"localA_200",7138121.0658856
"residential_300",6652551.9479815
"lane_10_residential",6438887.30303447
"res_2012_400",6333481.89826387
"highway_400",6192962.51832222
"res_2012_300",6161514.76348598
"localA_500",5928289.81229066
"highway_500",5813219.36631744
"res_2012_1k",5367558.62265683
"res_2012_700",5366313.72560562
"residential_50",5060458.85315487
"imd_2012_2k",4169464.94498785
"highway_200",3963260.68026449
"residential_400",3924546.92012451
"res_2012_2500",3782574.92853922
"imd_2012_1800",3712095.16291237
"highway_300",3418348.2236659
"residential_100",3352175.67678543
"unclassified_50",3098362.52401967
"unclassified_100",2493999.69493252
"imd_2012_100",2362624.29434425
"unclassified_200",1790763.66304145
"area_type",1730323.03177063
"res_2012_100",1160500.42679216
"res_2012_200",946506.319401842
"highway_100",647392.08269324
"localA_50",307276.614371264
"highway_50",122939.224447619
"lane_10_primary",0
"lane_20_highway",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
"maxv_10_localA",0
