"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
1,5037.65476767123,3025,-2012.65476767123,"train","IT",4545207.5,1650937.5,"primary","rural"
2,3337.21232356164,1192,-2145.21232356164,"train","IT",4722447.5,1649857.5,"primary","rural"
5,3667.6715,3473,-194.671499999998,"train","IT",4592267.5,1626487.5,"primary","rural"
6,6771.83993616439,4777,-1994.83993616439,"train","DE",4058852.5,2942957.5,"primary","urban"
9,19242.9089981735,19237,-5.90899817351237,"train","UK",3612662.5,3193792.5,"primary","urban"
13,22252.2297311415,27510,5257.77026885846,"train","UK",3574572.5,3426422.5,"primary","urban"
18,10775.8625314155,11611,835.137468584475,"train","UK",3612047.5,3550782.5,"primary","rural"
22,5230.98677452055,3884,-1346.98677452055,"train","IT",4328382.5,2344737.5,"primary","rural"
32,5396.4059,6026,629.594099999998,"train","IT",4813117.5,1909257.5,"primary","rural"
36,21282.0014910502,29889,8606.99850894978,"train","UK",3590227.5,3842087.5,"primary","urban"
42,6820.24835981735,7517,696.751640182645,"train","DE",4579902.5,3426507.5,"primary","rural"
49,17378.2848165297,18714,1335.7151834703,"train","AT",4786417.5,2800252.5,"primary","urban"
51,9055.83111059361,8586,-469.831110593608,"train","UK",3647527.5,3438622.5,"primary","rural"
55,10422.5829526027,6080,-4342.58295260274,"train","UK",3403377.5,3249902.5,"primary","urban"
67,7580.51922356164,4248,-3332.51922356164,"train","UK",3467427.5,3196792.5,"primary","rural"
87,7604.06991607306,1085,-6519.06991607306,"train","DE",4142952.5,2719357.5,"primary","urban"
98,17169.9005343379,18735,1565.09946566211,"train","UK",3654692.5,3214572.5,"primary","rural"
106,10981.4132307763,11877,895.586769223746,"train","FR",3481222.5,2312372.5,"primary","urban"
109,14367.2707711415,15204,836.72922885845,"train","UK",3449587.5,3708132.5,"primary","rural"
115,19696.6666548858,20881,1184.33334511415,"train","UK",3621817.5,3211807.5,"primary","urban"
122,7945.2546663927,7449,-496.254666392699,"train","DE",4422942.5,3422392.5,"primary","rural"
123,17493.2331875799,18710,1216.7668124201,"train","UK",3557557.5,3465962.5,"primary","rural"
134,11402.8198915069,12072,669.180108493147,"train","IT",4779172.5,1689202.5,"primary","urban"
135,14572.162326758,17451.1863013699,2879.0239746119,"train","CH",4163957.5,2695372.5,"primary","urban"
137,3471.79156666667,2517,-954.791566666666,"train","UK",3407022.5,3758007.5,"primary","rural"
145,6474.67770785388,7330,855.322292146117,"train","IT",4617192.5,2141787.5,"primary","rural"
152,17400.3907376256,23202,5801.60926237443,"train","IT",4333477.5,2414182.5,"primary","rural"
160,6023.86357452055,5710,-313.863574520548,"train","FR",3755122.5,2771412.5,"primary","rural"
166,13047.5679204566,10579,-2468.56792045663,"train","UK",3565587.5,3461567.5,"primary","urban"
173,8736.06788173515,10914,2177.93211826485,"train","DE",4528582.5,2732507.5,"primary","rural"
179,9035.39360739726,2113,-6922.39360739726,"train","UK",3587227.5,3210947.5,"primary","urban"
183,12429.6694421918,13691,1261.33055780822,"train","IT",4320477.5,2419357.5,"primary","rural"
185,16287.1166434703,16305,17.8833565296773,"train","UK",3499422.5,3455082.5,"primary","urban"
192,3332.527583379,1387,-1945.527583379,"train","FR",3679897.5,2547882.5,"primary","rural"
12,8032.12201442922,4672,-3360.12201442922,"test","IT",4623577.5,2137757.5,"primary","rural"
17,5454.53165689498,237,-5217.53165689498,"test","IT",4267502.5,1964552.5,"primary","rural"
23,6327.9924343379,4738,-1589.9924343379,"test","DE",4495002.5,3310327.5,"primary","rural"
31,9158.18053114156,6860,-2298.18053114156,"test","UK",3644797.5,3515812.5,"primary","rural"
63,7943.68008931507,6709,-1234.68008931507,"test","FR",3482927.5,2364417.5,"primary","rural"
79,12501.4361199087,22722,10220.5638800913,"test","UK",3462992.5,3753397.5,"primary","rural"
95,15833.3113607306,15715,-118.311360730586,"test","UK",3463237.5,3445747.5,"primary","urban"
133,9114.84324511415,6057,-3057.84324511415,"test","UK",3434452.5,3623307.5,"primary","urban"
