"var_name","vi"
"res_2012_700",18870652.5794966
"res_2012_1200",18047457.3042902
"imd_2012_200",17042127.5312523
"imd_2012_700",16402503.8680023
"res_2012_3500",15919967.9578033
"res_2012_800",15828771.6305977
"imd_2012_300",14213059.3003546
"res_2012_4k",13658935.3665878
"imd_2012_800",13357584.7032043
"imd_2012_500",13177510.665897
"res_2012_500",12483267.7412431
"imd_2012_1k",12234284.8682447
"slope",11999985.5235546
"imd_2012_4k",11421115.7951773
"res_2012_1800",11070642.13565
"imd_2012_100",11045165.817486
"res_2012_1k",10783526.4069599
"res_2012_600",10689368.4624935
"res_2012_2500",10535577.3597288
"imd_2012_400",10201058.7245869
"imd_2012_1200",10045006.4974381
"imd_2012_1500",9831284.89819723
"residential_500",9676619.92593694
"imd_2012_3500",9458370.68114652
"imd_2012_1800",9415350.65297867
"res_2012_2k",8891729.73797195
"area_type",8701983.28653606
"imd_2012_2k",7805773.63195046
"highway_200",7233959.45533805
"imd_2012_600",7227469.89214238
"res_2012_1500",6702484.89800897
"imd_2012_2500",5680186.43539852
"res_2012_400",5518033.03655592
"res_2012_200",5165889.3525825
"imd_2012_5k",5010307.63615283
"pop2011_5k",4728338.67343569
"pcar2011_5k",4611944.1315395
"pcar2011_200k",4565960.10737259
"localA_50",4291662.94674624
"res_2012_300",4280476.70611825
"pop2011_1k",4154732.47082212
"pop2011_200k",4064743.1967849
"pcar2011_8k",3959828.20413292
"pcar2011_10k",3899135.2002437
"cveh2011_1k",3799662.2672927
"residential_400",3538340.26286699
"cveh2011_200k",3401443.76975205
"res_2012_10k",3286981.87508201
"pcar2011_15k",3217407.05281198
"residential_50",3204675.34141576
"pop2011",3083577.18354307
"cveh2011_8k",3057335.08641724
"residential_300",2977328.53040241
"residential_200",2971687.17517889
"cveh2011_5k",2964960.47672983
"cveh2011_10k",2917927.70760218
"localA_500",2915549.12724713
"res_2012_5k",2898352.9067371
"pcar2011_20k",2885233.69576193
"cveh2011_30k",2868026.56695308
"residential_100",2831402.87377436
"pcar2011_1k",2826617.16971146
"pop2011_12k",2774688.00578794
"pop2011_150k",2582997.48304003
"cveh2011_20k",2578008.73162211
"cveh2011_75k",2501403.28290695
"elevation",2495923.46922754
"imd_2012_10k",2432544.75082284
"pop2011_10k",2412917.07767212
"unclassified_100",2192054.01429602
"unclassified_50",2180990.06182828
"pop2011_20k",2135976.81954766
"pcar2011_150k",2129206.50970298
"cveh2011_150k",2110960.78708591
"res_2012_7k",2089560.68820979
"pop2011_75k",2076491.67293763
"cveh2011_12k",2058882.08735533
"pcar2011_30k",2054553.70676177
"imd_2012_7k",2038978.43366422
"cveh2011_100k",2012778.11733818
"pcar2011_100k",2010802.75255755
"imd_2012_8k",2003116.42513634
"unclassified_400",1988261.56862402
"res_2012_100",1958217.75983529
"localA_300",1858162.28857027
"localA_100",1803562.78791515
"unclassified_500",1775535.42327311
"localA_400",1772268.95142979
"highway_400",1746098.27136933
"res_2012_6k",1652329.57360148
"unclassified_200",1622728.92856977
"pcar2011_25k",1614391.65480239
"cveh2011_15k",1604259.90608684
"pcar2011_12k",1584190.72515948
"pop2011_15k",1523998.15868882
"pop2011_8k",1521564.61257659
"pop2011_25k",1460232.36386255
"pop2011_100k",1362515.14040419
"cveh2011_25k",1288512.02475771
"pcar2011_45k",1275680.31453576
"pop2011_45k",1135336.48211991
"pcar2011_75k",1058455.8498029
"localA_200",1007573.42466216
"pop2011_50k",904164.003686203
"imd_2012_6k",864754.998420431
"unclassified_300",762766.62740293
"res_2012_8k",752225.773453566
"cveh2011_45k",728102.298022442
"primary_100",706028.745227416
"primary_200",667676.37471736
"pop2011_30k",663348.385173042
"primary_400",641331.26882121
"cveh2011_50k",603270.10274743
"primary_300",553925.987826588
"highway_500",552116.591512824
"pcar2011_50k",536566.723825908
"primary_500",498538.906838528
"highway_300",485054.030445417
"maxv_10_localA",239832.196189569
"lane_10_unclassified",11388.4645761905
"highway_100",0
"highway_50",0
"lane_10_primary",0
"lane_10_residential",0
"lane_20_highway",0
"maxv_10_primary",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"primary_50",0
"lane_10_localA",0
