"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
4,12663.5088573516,2841,-9822.50885735159,"train","UK",3468782.5,3284372.5,"highway","rural"
10,73210.112960274,85462,12251.887039726,"train","UK",3565987.5,3187737.5,"highway","urban"
30,64703.4877153425,76421,11717.5122846575,"train","DE",4392702.5,2939942.5,"highway","urban"
37,37504.0998493152,28049.6821917808,-9454.41765753438,"train","CH",4244877.5,2525732.5,"highway","urban"
40,43754.9737224657,35176,-8578.97372246571,"train","UK",3451247.5,3224382.5,"highway","urban"
41,28637.4285716895,33518,4880.57142831049,"train","UK",3675487.5,3282567.5,"highway","urban"
47,42050.3988611872,39505.9397260274,-2544.45913515979,"train","CH",4121747.5,2652177.5,"highway","urban"
48,21909.1644655708,20275,-1634.16446557079,"train","UK",3522707.5,3721547.5,"highway","rural"
50,120149.334901279,163456,43306.6650987214,"train","UK",3595207.5,3206067.5,"highway","rural"
53,43018.315603379,39657,-3361.31560337899,"train","UK",3629547.5,3319897.5,"highway","urban"
60,36716.6318540639,24111,-12605.6318540639,"train","UK",3578352.5,3603202.5,"highway","urban"
62,75241.5141428311,79091,3849.48585716893,"train","UK",3610807.5,3209127.5,"highway","urban"
64,54070.4192717808,54738,667.580728219189,"train","UK",3551877.5,3186717.5,"highway","urban"
65,40066.6398774429,51867,11800.3601225571,"train","DE",4364267.5,2810762.5,"highway","rural"
66,34265.6771458447,27450,-6815.67714584475,"train","UK",3464037.5,3418097.5,"highway","urban"
69,25907.3297712329,16211,-9696.3297712329,"train","UK",3526947.5,3375127.5,"highway","urban"
76,43693.0939606393,32043,-11650.0939606393,"train","UK",3518127.5,3328217.5,"highway","urban"
90,12907.5833714155,6296,-6611.58337141552,"train","FR",3776857.5,2752177.5,"highway","urban"
93,16540.9041018265,2451,-14089.9041018265,"train","DE",4349027.5,2729617.5,"highway","rural"
96,32276.5069706849,19055,-13221.5069706849,"train","UK",3612182.5,3188277.5,"highway","urban"
100,77576.2182801827,97045,19468.7817198173,"train","UK",3564637.5,3304757.5,"highway","rural"
102,30551.3912074886,21772,-8779.3912074886,"train","UK",3510632.5,3292627.5,"highway","rural"
105,25270.947290137,8114,-17156.947290137,"train","UK",3609192.5,3128222.5,"highway","urban"
108,62349.0068161644,66069,3719.99318383558,"train","UK",3497307.5,3472497.5,"highway","rural"
114,69569.4493884932,55518,-14051.4493884932,"train","UK",3600882.5,3205282.5,"highway","urban"
117,67017.2588911416,66918,-99.2588911415805,"train","DE",4188432.5,2989267.5,"highway","rural"
119,14702.4080944292,12024,-2678.40809442922,"train","DE",4083347.5,2993867.5,"highway","rural"
128,32142.0540313242,25115,-7027.05403132419,"train","UK",3618657.5,3195482.5,"highway","urban"
129,36107.4445013699,21485,-14622.4445013699,"train","UK",3526967.5,3438102.5,"highway","urban"
132,59888.6778686758,50466,-9422.67786867581,"train","UK",3560987.5,3365212.5,"highway","rural"
