"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
8,7514.59969999999,5387,-2127.59969999999,"train","UK",3571617.5,3375322.5,"localA","urban"
19,1715.67055159817,1005,-710.670551598173,"train","IT",4741312.5,1632582.5,"localA","rural"
27,4481.8527,2888,-1593.8527,"train","UK",3572412.5,3194962.5,"localA","urban"
34,2752.59113333333,794,-1958.59113333333,"train","UK",3579757.5,3270437.5,"localA","urban"
35,5811.736123379,6314,502.263876621004,"train","UK",3619262.5,3131822.5,"localA","urban"
39,2192.80640200913,1252,-940.806402009132,"train","UK",3641702.5,3179732.5,"localA","rural"
43,3162.22231689498,2629,-533.222316894977,"train","UK",3424282.5,3262842.5,"localA","rural"
44,4176.0953113242,4203,26.9046886757988,"train","UK",3582192.5,3437302.5,"localA","rural"
45,3222.83429789955,4938,1715.16570210045,"train","UK",3344312.5,3206142.5,"localA","rural"
46,1558.81731068493,1343,-215.817310684932,"train","IT",4904697.5,1854922.5,"localA","rural"
54,3909.77451086758,3162,-747.774510867579,"train","IT",4711787.5,1628192.5,"localA","urban"
72,9018.63656666666,8981,-37.6365666666588,"train","UK",3604567.5,3197112.5,"localA","urban"
73,10524.3178333333,12590,2065.68216666667,"train","UK",3512977.5,3438207.5,"localA","urban"
75,1912.35533543379,779,-1133.35533543379,"train","UK",3645207.5,3364352.5,"localA","rural"
80,2812.26765680365,716,-2096.26765680365,"train","UK",3408777.5,3697842.5,"localA","urban"
81,10861.4818361644,14116,3254.51816383562,"train","UK",3642392.5,3455702.5,"localA","urban"
101,6719.71073333333,6275,-444.710733333332,"train","AT",4786432.5,2799512.5,"localA","urban"
104,6419.97883333333,7456,1036.02116666667,"train","UK",3506842.5,3717672.5,"localA","urban"
110,3035.64133461187,2965,-70.6413346118716,"train","UK",3342002.5,3276492.5,"localA","rural"
112,1260.02977196347,940,-320.029771963471,"train","FR",3550712.5,2278722.5,"localA","rural"
116,1385.16374319635,805,-580.163743196348,"train","UK",3560397.5,3497842.5,"localA","rural"
120,5859.61896666667,6548,688.381033333332,"train","UK",3574932.5,3197687.5,"localA","urban"
124,2633.4442713242,3311,677.555728675799,"train","UK",3501022.5,3158822.5,"localA","rural"
139,9743.18964182649,12917,3173.81035817351,"train","UK",3749442.5,3294687.5,"localA","urban"
143,1392.94812849315,771,-621.948128493151,"train","UK",3583957.5,3669372.5,"localA","rural"
144,1453.44347242009,496,-957.443472420092,"train","UK",3469947.5,3641117.5,"localA","rural"
146,2418.22587899543,2202,-216.225878995434,"train","UK",3541672.5,3262842.5,"localA","rural"
151,5295.12584748859,4937,-358.125847488586,"train","UK",3719577.5,3237892.5,"localA","urban"
154,4041.99123333333,3247,-794.991233333333,"train","UK",3493977.5,3414147.5,"localA","urban"
156,1754.91917488584,1625.0904109589,-129.828763926942,"train","CH",4299942.5,2621007.5,"localA","rural"
162,6461.02570776256,5141,-1320.02570776256,"train","UK",3518177.5,3684507.5,"localA","urban"
168,8603.45257315069,12574,3970.54742684931,"train","DE",4483962.5,2841927.5,"localA","urban"
170,2034.53412721461,1863,-171.534127214612,"train","UK",3573532.5,3207967.5,"localA","rural"
181,11189.2777361644,12441,1251.72226383562,"train","UK",3509382.5,3334452.5,"localA","urban"
191,3292.09311187215,2034,-1258.09311187215,"train","UK",3550282.5,3353262.5,"localA","urban"
199,5861.52383333333,5728,-133.523833333333,"train","UK",3559767.5,3408222.5,"localA","urban"
33,2423.65156027397,2242,-181.651560273974,"test","UK",3642277.5,3362002.5,"localA","rural"
85,8334.51453333332,5024,-3310.51453333332,"test","UK",3503057.5,3336032.5,"localA","urban"
91,6113.419,10386,4272.581,"test","UK",3576577.5,3483412.5,"localA","urban"
111,2399.94371981735,2780,380.056280182649,"test","UK",3448567.5,3286492.5,"localA","rural"
113,4846.17226666667,10446,5599.82773333333,"test","UK",3538127.5,3485952.5,"localA","urban"
141,2470.18006849315,1916,-554.18006849315,"test","UK",3724732.5,3324872.5,"localA","rural"
182,5222.17656949772,2773,-2449.17656949772,"test","UK",3454042.5,3432592.5,"localA","urban"
