"var_name","vi"
"cveh2011_10k",69148769.5298373
"cveh2011_12k",58234939.1218226
"pcar2011_12k",55815491.2137116
"pcar2011_10k",53257054.0711406
"pop2011_12k",49554902.4618067
"imd_2012_6k",48270625.7311617
"imd_2012_8k",43958441.1346596
"imd_2012_10k",40250682.8523555
"res_2012_8k",39904897.4331649
"imd_2012_7k",36959241.263899
"pcar2011_8k",35939418.7067767
"pop2011_10k",35379976.7133545
"res_2012_5k",32713303.8095324
"pop2011_8k",29978187.2452744
"imd_2012_5k",29304556.2849464
"imd_2012_3500",28713855.7274961
"pop2011_15k",27965110.3795904
"cveh2011_8k",25893448.187792
"imd_2012_4k",22461824.8821573
"res_2012_6k",22034928.8969284
"res_2012_10k",20132150.5361651
"pop2011_5k",19057843.4790535
"res_2012_7k",17983533.9706802
"imd_2012_2500",17547544.5032901
"primary_500",16869142.6574069
"pcar2011_150k",16616458.6321188
"cveh2011_200k",16499994.1372765
"pop2011_150k",16176834.126889
"pop2011_20k",15963114.4622067
"cveh2011_150k",15949981.5468655
"cveh2011_15k",15731320.054282
"res_2012_3500",15498934.7725465
"pcar2011_200k",14994154.160877
"cveh2011_50k",14758878.0941066
"pop2011_45k",14402437.0457471
"res_2012_2k",13281842.7409022
"pop2011_50k",13189588.2709817
"pop2011_200k",12954687.4683083
"pcar2011_15k",12878710.4486512
"pcar2011_100k",12799674.4198213
"pcar2011_5k",12707189.9226603
"elevation",12346793.7099817
"pop2011_1k",12009765.4478873
"primary_300",11819664.9021549
"cveh2011_30k",11622990.142278
"cveh2011_5k",11288990.4167731
"pop2011_25k",11271682.4212303
"primary_400",10813533.1718493
"pop2011_100k",10774574.8882622
"pcar2011_50k",10657694.7723493
"pcar2011_30k",10458270.6385324
"res_2012_1800",10358747.2303292
"res_2012_4k",9832673.53674111
"cveh2011_25k",9787171.20119133
"pcar2011_75k",9557076.94254185
"cveh2011_45k",9457046.88952146
"pop2011",9304149.55247656
"pcar2011_45k",9300166.89687545
"primary_200",9218437.82447291
"res_2012_1500",8959495.63091903
"pcar2011_20k",8863799.9430607
"localA_400",8813173.84943997
"res_2012_1k",8787066.52922648
"primary_50",8748984.6740024
"cveh2011_100k",8690978.99367494
"imd_2012_300",8532155.82077274
"res_2012_2500",8222707.53402434
"pop2011_30k",7875929.89012341
"imd_2012_500",7432702.18669394
"lane_10_residential",7332133.27567167
"cveh2011_75k",7294193.47115307
"imd_2012_1500",7194716.4002817
"unclassified_400",6830904.51067547
"imd_2012_2k",6702329.30348282
"pcar2011_25k",6613004.55839898
"pop2011_75k",6368906.51670083
"imd_2012_1800",6218994.3628037
"imd_2012_800",6214866.4794586
"localA_500",6061831.05933372
"cveh2011_20k",6007254.91459097
"imd_2012_400",5975441.74572037
"imd_2012_200",5736129.9244077
"localA_200",5614775.57409295
"pcar2011_1k",5427750.98781361
"slope",5168185.00628192
"residential_50",4928961.8576853
"primary_100",4506988.40091059
"localA_300",4475796.6807647
"residential_100",4286386.5618741
"unclassified_200",4224530.25857553
"unclassified_500",3965129.65006999
"imd_2012_100",3941109.05412882
"res_2012_800",3763812.43612456
"imd_2012_600",3685504.71883039
"residential_200",3414725.45495361
"unclassified_100",3290631.49742007
"imd_2012_1200",3186658.12448076
"imd_2012_700",3014472.47679186
"residential_400",2726231.93472273
"res_2012_1200",2692498.0333602
"cveh2011_1k",2659267.46384412
"imd_2012_1k",2310268.93545062
"residential_500",2274365.64354277
"unclassified_300",2149015.01537447
"maxv_10_primary",2136322.57504786
"unclassified_50",2049683.47689982
"res_2012_700",1811931.11066956
"lane_10_unclassified",1775832.6551086
"res_2012_300",1481320.29971069
"highway_200",1375083.56961474
"res_2012_400",1317065.9566348
"res_2012_600",1263089.66839534
"res_2012_100",1161792.03726925
"res_2012_500",1158077.3297864
"residential_300",1024107.45541531
"localA_100",854252.488574208
"highway_500",842936.144293935
"highway_400",701386.539115639
"res_2012_200",643725.638201061
"localA_50",166032.733899206
"highway_100",144137.007705852
"highway_300",136673.375989284
"area_type",35542.3937142858
"lane_10_primary",25912.2418915539
"highway_50",0
"lane_20_highway",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
"maxv_10_localA",0
