"var_name","vi"
"cveh2011_50k",64952517.4180129
"pcar2011_15k",54419119.6371101
"pcar2011_100k",52157800.3775732
"pop2011_45k",49669732.5195753
"cveh2011_75k",44098462.1426462
"pcar2011_45k",41561921.1518562
"cveh2011_15k",40035844.2642682
"pop2011_50k",39889687.5957288
"pcar2011_150k",38446420.7603525
"pcar2011_50k",35717780.4868925
"cveh2011_45k",35267999.0451586
"primary_500",33609663.8038629
"pcar2011_75k",31154425.9623173
"pop2011_200k",30837042.012165
"primary_400",29627846.521908
"cveh2011_150k",29319815.7327352
"cveh2011_200k",26341366.0934487
"cveh2011_100k",25579108.9627911
"pop2011_100k",25380218.117259
"primary_300",24154695.2640244
"pop2011_15k",23692637.1292661
"cveh2011_12k",23299670.6407921
"pcar2011_12k",20721556.0436705
"pop2011_12k",19742708.9542257
"pop2011_25k",19047234.7153734
"pop2011_150k",18106122.9081568
"slope",17896550.2292156
"cveh2011_30k",16727087.9964761
"pcar2011_10k",16566209.7201751
"imd_2012_8k",15712101.0774233
"res_2012_1k",14781678.4710269
"primary_200",14751173.5155605
"res_2012_7k",14669424.1657791
"elevation",14540477.7858186
"primary_100",14328599.5983413
"imd_2012_6k",13659182.9163829
"pcar2011_200k",13007267.3765312
"pcar2011_25k",12668019.7269833
"imd_2012_7k",12461606.0064173
"unclassified_400",12297246.6939159
"primary_50",11823547.2638197
"cveh2011_20k",11468030.7002259
"cveh2011_5k",11452162.3440888
"cveh2011_25k",11167656.4153658
"imd_2012_4k",11149150.1725829
"pop2011_30k",10983246.8512024
"pop2011_75k",10625190.6079866
"res_2012_6k",10406982.4413821
"pcar2011_20k",10341132.8159199
"imd_2012_10k",10320353.3603055
"pcar2011_8k",10162071.1163159
"pop2011_20k",9968737.60773368
"imd_2012_300",9846587.58246527
"imd_2012_5k",9607025.45379963
"pop2011",9588274.48218174
"res_2012_700",9460389.47340936
"cveh2011_10k",9325900.16281154
"residential_100",9107264.48165864
"localA_400",8697799.38523368
"pop2011_1k",8113118.92192419
"unclassified_300",8007058.50114799
"imd_2012_1500",7882232.60015945
"cveh2011_8k",7775432.60378041
"res_2012_8k",7504603.58563798
"res_2012_1200",7466246.6645986
"unclassified_500",7140833.55919962
"imd_2012_3500",7112270.65488596
"residential_400",7063672.40811831
"residential_50",6823835.17413923
"res_2012_5k",6646291.91772389
"imd_2012_700",6418742.00214393
"imd_2012_200",6384375.72039854
"imd_2012_800",6374023.01438806
"pop2011_8k",6338018.94543954
"imd_2012_1800",6103202.22527521
"pop2011_10k",5869286.84395914
"res_2012_2k",5825648.06019369
"imd_2012_2k",5497616.40275479
"res_2012_800",5400073.66441613
"pcar2011_1k",5278067.26926061
"pcar2011_30k",5039364.2035634
"res_2012_1500",4938159.26023135
"localA_300",4645175.04338939
"imd_2012_100",4608956.86067254
"pop2011_5k",4586604.46639265
"res_2012_4k",4569761.39332574
"res_2012_10k",4562773.00915919
"maxv_10_primary",4405376.08071542
"pcar2011_5k",4371150.85443216
"res_2012_2500",4360874.14416492
"imd_2012_600",4159703.41973237
"imd_2012_400",4086119.32632621
"imd_2012_2500",4068216.38356246
"lane_10_unclassified",4010820.4648123
"imd_2012_1k",3954533.06239941
"residential_500",3640972.44875939
"highway_500",3447542.75537484
"res_2012_3500",3446131.62119195
"res_2012_600",3433665.16085857
"cveh2011_1k",3404474.15638273
"unclassified_50",3378042.63228813
"imd_2012_500",3330273.69392633
"highway_400",3062098.2155276
"res_2012_1800",3014824.2736431
"unclassified_200",2982704.25476496
"lane_10_residential",2547258.12576266
"imd_2012_1200",2536371.21606623
"localA_500",2431112.33669497
"res_2012_500",1856067.24110877
"unclassified_100",1748532.57542166
"residential_200",1735217.36451131
"localA_200",1729923.85981818
"highway_300",931161.770547949
"res_2012_400",752481.992486216
"res_2012_100",466471.348107302
"res_2012_300",433328.448868074
"residential_300",429516.941868865
"highway_200",367400.053453333
"localA_50",258406.660326341
"localA_100",198918.798378572
"res_2012_200",151218.27495671
"area_type",29141.4904761906
"highway_100",0
"highway_50",0
"lane_10_primary",0
"lane_20_highway",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
"maxv_10_localA",0
