"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
4,12132.9681756164,2841,-9291.96817561644,"train","UK",3468782.5,3284372.5,"highway","rural"
10,81000.2161378082,85462,4461.78386219181,"train","UK",3565987.5,3187737.5,"highway","urban"
24,59318.0301606393,66156,6837.96983936073,"train","DE",4194542.5,3191292.5,"highway","rural"
25,102080.818530046,120210,18129.1814699544,"train","UK",3576412.5,3207177.5,"highway","rural"
30,65261.3058550685,76421,11159.6941449315,"train","DE",4392702.5,2939942.5,"highway","urban"
37,38950.2465754339,28049.6821917808,-10900.5643836531,"train","CH",4244877.5,2525732.5,"highway","urban"
40,43070.7316855708,35176,-7894.73168557078,"train","UK",3451247.5,3224382.5,"highway","urban"
47,46119.4555029223,39505.9397260274,-6613.51577689494,"train","CH",4121747.5,2652177.5,"highway","urban"
48,25618.3333753425,20275,-5343.33337534246,"train","UK",3522707.5,3721547.5,"highway","rural"
52,91669.853220274,95364,3694.14677972603,"train","UK",3596652.5,3213262.5,"highway","urban"
58,107271.80049032,138454,31182.1995096804,"train","UK",3529207.5,3326907.5,"highway","rural"
60,33371.8762302283,24111,-9260.87623022831,"train","UK",3578352.5,3603202.5,"highway","urban"
62,70932.0449642009,79091,8158.95503579908,"train","UK",3610807.5,3209127.5,"highway","urban"
64,55128.3508494064,54738,-390.350849406423,"train","UK",3551877.5,3186717.5,"highway","urban"
65,44154.1235252968,51867,7712.87647470319,"train","DE",4364267.5,2810762.5,"highway","rural"
66,32941.0618642009,27450,-5491.0618642009,"train","UK",3464037.5,3418097.5,"highway","urban"
76,44130.9046294064,32043,-12087.9046294064,"train","UK",3518127.5,3328217.5,"highway","urban"
83,103447.455624749,132205,28757.5443752512,"train","UK",3507762.5,3438532.5,"highway","urban"
89,87151.1584894976,107992,20840.8415105024,"train","UK",3499902.5,3406302.5,"highway","rural"
90,17094.6707279452,6296,-10798.6707279452,"train","FR",3776857.5,2752177.5,"highway","urban"
94,24723.0225818265,15492,-9231.02258182649,"train","UK",3641502.5,3158952.5,"highway","urban"
96,30816.1011209132,19055,-11761.1011209132,"train","UK",3612182.5,3188277.5,"highway","urban"
102,32985.3675871233,21772,-11213.3675871233,"train","UK",3510632.5,3292627.5,"highway","rural"
105,22949.6008011872,8114,-14835.6008011872,"train","UK",3609192.5,3128222.5,"highway","urban"
107,39190.5514321461,29617,-9573.55143214611,"train","DE",4389252.5,3087217.5,"highway","rural"
108,68096.9203429224,66069,-2027.92034292237,"train","UK",3497307.5,3472497.5,"highway","rural"
114,61893.8026,55518,-6375.80259999999,"train","UK",3600882.5,3205282.5,"highway","urban"
117,66019.7313141553,66918,898.268685844712,"train","DE",4188432.5,2989267.5,"highway","rural"
118,50933.7348077625,39002,-11931.7348077625,"train","UK",3462092.5,3449787.5,"highway","urban"
119,18829.9084769863,12024,-6805.9084769863,"train","DE",4083347.5,2993867.5,"highway","rural"
128,32290.9083804566,25115,-7175.90838045661,"train","UK",3618657.5,3195482.5,"highway","urban"
132,60694.1077578996,50466,-10228.1077578996,"train","UK",3560987.5,3365212.5,"highway","rural"
136,28998.7701753425,25737,-3261.77017534245,"train","IT",4557632.5,2298722.5,"highway","urban"
140,22195.6128980822,16687,-5508.6128980822,"train","FR",3472742.5,2367312.5,"highway","urban"
147,63996.599943379,70005,6008.40005662105,"train","DE",4293557.5,3137782.5,"highway","urban"
149,10986.6570422831,4490,-6496.65704228311,"train","UK",3414722.5,3150247.5,"highway","urban"
153,23621.1912012785,19757,-3864.19120127854,"train","UK",3463787.5,3528962.5,"highway","rural"
157,100276.670911963,133436,33159.3290880366,"train","UK",3528582.5,3152787.5,"highway","urban"
158,59171.0491073059,52351,-6820.04910730592,"train","DE",4126897.5,3077432.5,"highway","urban"
159,91819.6637938813,110976,19156.3362061187,"train","FR",3484772.5,2467327.5,"highway","urban"
163,64309.3840009132,48976,-15333.3840009132,"train","UK",3544027.5,3313532.5,"highway","urban"
164,56565.1983057534,65815,9249.80169424661,"train","DE",4473672.5,2882557.5,"highway","urban"
165,37367.0472792694,30286,-7081.04727926942,"train","UK",3615142.5,3198977.5,"highway","urban"
167,58662.368746758,64338,5675.63125324203,"train","UK",3511307.5,3442717.5,"highway","urban"
169,45602.7897562557,35074.0438356164,-10528.7459206393,"train","CH",4292437.5,2694952.5,"highway","urban"
171,65395.1715505022,80169.4657534247,14774.2942029225,"train","CH",4052387.5,2606622.5,"highway","urban"
172,52450.8871157078,54534,2083.1128842922,"train","UK",3520467.5,3482157.5,"highway","urban"
176,53695.700783379,61556,7860.299216621,"train","DE",4306177.5,2959827.5,"highway","rural"
184,62224.3166503196,49544,-12680.3166503196,"train","UK",3609637.5,3230562.5,"highway","urban"
186,52810.4964272146,42851,-9959.4964272146,"train","UK",3553507.5,3376857.5,"highway","urban"
188,39192.426739726,17757,-21435.426739726,"train","UK",3484097.5,3454642.5,"highway","urban"
