"var_name","vi"
"res_2012_2k",23336454.248787
"res_2012_2500",14815641.3518954
"imd_2012_200",14304458.760906
"imd_2012_500",12724391.1303714
"imd_2012_700",12136888.6996082
"res_2012_1500",11483393.3692544
"res_2012_1800",11447055.3905658
"imd_2012_1k",11404812.5176427
"res_2012_3500",10554841.2615914
"imd_2012_400",10170011.333954
"imd_2012_1200",9886151.08461721
"imd_2012_600",8852990.30293775
"res_2012_1200",8339682.37885861
"imd_2012_300",8250963.23217488
"imd_2012_1800",7733497.47244956
"imd_2012_800",7286590.69792524
"slope",6945545.81057914
"imd_2012_2k",6407084.95013686
"imd_2012_1500",6356711.78015397
"pop2011",6170008.23356859
"pcar2011_1k",5918914.68849791
"cveh2011_1k",5743048.53191654
"res_2012_1k",5647870.21195388
"pcar2011_5k",5550595.90427215
"res_2012_800",4843666.07688676
"pop2011_1k",4678596.07475924
"imd_2012_4k",4628278.60138139
"pop2011_5k",4618814.75612594
"residential_500",4614462.91075394
"unclassified_500",4490190.53956202
"res_2012_500",4448243.95043882
"res_2012_700",4193584.81565102
"residential_50",4002991.00146742
"highway_200",3940506.74261277
"imd_2012_3500",3786531.05954601
"res_2012_600",3779115.32726401
"imd_2012_100",3763057.43848236
"imd_2012_2500",3732332.74851958
"cveh2011_200k",3666979.33440105
"elevation",3638785.01554268
"res_2012_4k",3468903.09529121
"pop2011_75k",3261393.86358164
"cveh2011_5k",3135475.06407352
"unclassified_400",3126780.30334272
"cveh2011_100k",2875784.64134245
"pop2011_100k",2814855.26867363
"unclassified_300",2793870.4184734
"res_2012_300",2651798.85126872
"pcar2011_75k",2641810.15213115
"imd_2012_5k",2635680.97756298
"residential_400",2576431.85252972
"pcar2011_200k",2509687.88059087
"localA_50",2497883.98508943
"cveh2011_25k",2449548.14717927
"localA_300",2334590.37395853
"residential_100",2315601.68327822
"residential_300",2277933.39809242
"pcar2011_150k",2229721.81840739
"cveh2011_45k",2214463.46332328
"res_2012_400",2184027.18486622
"pop2011_15k",2138590.1024492
"res_2012_8k",2075182.39016867
"pcar2011_100k",2062813.42867083
"highway_400",1960753.13692525
"cveh2011_75k",1956395.8166597
"pop2011_10k",1864824.21762566
"pop2011_50k",1720959.07841043
"pcar2011_30k",1683775.18180408
"imd_2012_10k",1673385.45872475
"res_2012_5k",1595046.23039768
"cveh2011_10k",1581835.36450579
"pcar2011_10k",1572187.12940485
"pcar2011_50k",1544074.40477935
"imd_2012_8k",1531888.20433073
"imd_2012_6k",1511702.19540164
"imd_2012_7k",1479343.56284553
"pop2011_150k",1472437.64042698
"highway_500",1468012.00318404
"pcar2011_15k",1445691.96216156
"pop2011_200k",1445315.55333595
"pop2011_25k",1424408.43919435
"res_2012_6k",1409390.30206751
"localA_400",1394910.69933454
"localA_500",1388085.16669376
"cveh2011_15k",1385361.39158194
"pop2011_45k",1384133.838125
"pcar2011_45k",1379499.72391325
"res_2012_10k",1373449.67897955
"cveh2011_150k",1326390.40972405
"res_2012_200",1278609.54746304
"pop2011_20k",1262025.74607137
"unclassified_200",1259688.86960958
"res_2012_7k",1222849.19119364
"localA_100",1171399.10008142
"pcar2011_25k",1166254.12803991
"pcar2011_20k",1091108.12682455
"pop2011_8k",1014240.0083106
"localA_200",951669.978423769
"pop2011_12k",892118.437403673
"pop2011_30k",873611.964410211
"cveh2011_20k",871775.036751419
"cveh2011_12k",843417.390975351
"pcar2011_8k",799780.002502141
"cveh2011_8k",749967.103874908
"unclassified_100",714083.953440994
"cveh2011_50k",652586.025998201
"cveh2011_30k",649945.434797983
"res_2012_100",598338.955298685
"area_type",544841.992325306
"highway_300",533114.511675315
"pcar2011_12k",476819.44114749
"residential_200",397266.794089791
"primary_500",189107.301288953
"primary_300",114991.707266667
"unclassified_50",111536.854184547
"primary_200",67377.5693809525
"maxv_10_localA",59583.1671794539
"primary_400",14968.4640219336
"lane_10_unclassified",5550.0969047619
"primary_100",1756.50844444444
"highway_100",0
"highway_50",0
"lane_10_primary",0
"lane_10_residential",0
"lane_20_highway",0
"maxv_10_primary",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"primary_50",0
"lane_10_localA",0
