"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
8,6595.98296666667,5387,-1208.98296666667,"train","UK",3571617.5,3375322.5,"localA","urban"
19,1856.78219689498,1005,-851.782196894977,"train","IT",4741312.5,1632582.5,"localA","rural"
27,4629.45216666666,2888,-1741.45216666666,"train","UK",3572412.5,3194962.5,"localA","urban"
33,2646.37101598173,2242,-404.371015981734,"train","UK",3642277.5,3362002.5,"localA","rural"
34,2621.69356109589,794,-1827.69356109589,"train","UK",3579757.5,3270437.5,"localA","urban"
39,2122.07903616438,1252,-870.079036164384,"train","UK",3641702.5,3179732.5,"localA","rural"
43,3223.35839278539,2629,-594.358392785388,"train","UK",3424282.5,3262842.5,"localA","rural"
44,4212.03146392694,4203,-9.03146392693816,"train","UK",3582192.5,3437302.5,"localA","rural"
45,3589.89788429224,4938,1348.10211570776,"train","UK",3344312.5,3206142.5,"localA","rural"
46,1981.39637634703,1343,-638.396376347031,"train","IT",4904697.5,1854922.5,"localA","rural"
54,3907.02851196347,3162,-745.028511963473,"train","IT",4711787.5,1628192.5,"localA","urban"
72,8434.2114,8981,546.788599999998,"train","UK",3604567.5,3197112.5,"localA","urban"
73,10107.5742,12590,2482.42580000001,"train","UK",3512977.5,3438207.5,"localA","urban"
80,3585.13936219178,716,-2869.13936219178,"train","UK",3408777.5,3697842.5,"localA","urban"
81,10730.5535118721,14116,3385.44648812786,"train","UK",3642392.5,3455702.5,"localA","urban"
85,6456.3459,5024,-1432.3459,"train","UK",3503057.5,3336032.5,"localA","urban"
91,9166.7921,10386,1219.2079,"train","UK",3576577.5,3483412.5,"localA","urban"
101,6701.54203333333,6275,-426.542033333334,"train","AT",4786432.5,2799512.5,"localA","urban"
104,6801.09923333333,7456,654.900766666666,"train","UK",3506842.5,3717672.5,"localA","urban"
110,2994.01450365297,2965,-29.0145036529689,"train","UK",3342002.5,3276492.5,"localA","rural"
111,2812.5921769863,2780,-32.5921769863007,"train","UK",3448567.5,3286492.5,"localA","rural"
112,1524.75526484018,940,-584.755264840182,"train","FR",3550712.5,2278722.5,"localA","rural"
113,8786.60193333334,10446,1659.39806666666,"train","UK",3538127.5,3485952.5,"localA","urban"
124,2899.72221954338,3311,411.27778045662,"train","UK",3501022.5,3158822.5,"localA","rural"
139,9989.26918447489,12917,2927.73081552511,"train","UK",3749442.5,3294687.5,"localA","urban"
141,2209.45580968036,1916,-293.455809680365,"train","UK",3724732.5,3324872.5,"localA","rural"
144,1612.7582347032,496,-1116.7582347032,"train","UK",3469947.5,3641117.5,"localA","rural"
146,2438.21209022831,2202,-236.21209022831,"train","UK",3541672.5,3262842.5,"localA","rural"
154,4795.50918136986,3247,-1548.50918136986,"train","UK",3493977.5,3414147.5,"localA","urban"
156,1862.19059908676,1625.0904109589,-237.100188127856,"train","CH",4299942.5,2621007.5,"localA","rural"
162,6493.44888365297,5141,-1352.44888365297,"train","UK",3518177.5,3684507.5,"localA","urban"
168,8294.52774347032,12574,4279.47225652968,"train","DE",4483962.5,2841927.5,"localA","urban"
170,2180.5148630137,1863,-317.514863013699,"train","UK",3573532.5,3207967.5,"localA","rural"
181,10993.8261118721,12441,1447.17388812786,"train","UK",3509382.5,3334452.5,"localA","urban"
182,4635.6944,2773,-1862.6944,"train","UK",3454042.5,3432592.5,"localA","urban"
199,6082.9794,5728,-354.979399999997,"train","UK",3559767.5,3408222.5,"localA","urban"
35,5695.30890118721,6314,618.691098812786,"test","UK",3619262.5,3131822.5,"localA","urban"
75,2866.49397689498,779,-2087.49397689498,"test","UK",3645207.5,3364352.5,"localA","rural"
116,2463.60945452055,805,-1658.60945452055,"test","UK",3560397.5,3497842.5,"localA","rural"
120,5478.50246666666,6548,1069.49753333334,"test","UK",3574932.5,3197687.5,"localA","urban"
143,2024.97455908676,771,-1253.97455908676,"test","UK",3583957.5,3669372.5,"localA","rural"
151,5696.71497853881,4937,-759.71497853881,"test","UK",3719577.5,3237892.5,"localA","urban"
191,6430.18816666667,2034,-4396.18816666667,"test","UK",3550282.5,3353262.5,"localA","urban"
