"var_name","vi"
"lane_20_highway",4704606513.68352
"highway_200",1729407326.71582
"highway_300",1653757085.67893
"highway_500",1381529913.74067
"pcar2011_100k",1284368726.55696
"highway_400",1262607183.03565
"cveh2011_100k",1161317816.69088
"pcar2011_12k",1100087335.53144
"pop2011_100k",1076671736.35101
"pop2011_30k",1043746674.0265
"maxv_20_highway",1031002756.80434
"pop2011_12k",1020122581.60667
"pop2011_25k",985737680.67029
"pop2011_15k",982789499.969722
"highway_50",967090106.614228
"pcar2011_30k",856802809.923632
"imd_2012_6k",840550097.510595
"imd_2012_10k",803168856.960711
"pcar2011_8k",801199768.448705
"pcar2011_20k",771325599.116129
"pop2011_8k",718714919.33214
"pcar2011_150k",716669190.421896
"pcar2011_25k",703696284.084815
"cveh2011_15k",699923491.274761
"cveh2011_150k",684182521.903379
"pop2011_150k",682026331.552822
"pcar2011_15k",665571565.169618
"pcar2011_45k",664095184.563331
"pop2011_20k",634655062.493555
"res_2012_10k",612470405.658757
"res_2012_300",608067137.063803
"cveh2011_25k",597154277.702792
"pop2011_5k",596157884.665699
"res_2012_7k",594321680.793264
"highway_100",572940070.6888
"pcar2011_10k",554086351.502189
"pop2011_10k",529625382.547045
"imd_2012_8k",526081403.101169
"pop2011_50k",507674404.901005
"cveh2011_12k",507014797.200565
"pcar2011_5k",503786966.335687
"cveh2011_30k",492591289.633786
"cveh2011_20k",475692811.112323
"imd_2012_4k",472465120.447986
"pop2011_75k",459076161.539044
"cveh2011_10k",457489242.350146
"pcar2011_75k",452344509.041235
"res_2012_500",451783193.517597
"res_2012_5k",434583418.864817
"cveh2011_8k",428225852.976026
"primary_500",418262698.850901
"res_2012_3500",416697635.147298
"pcar2011_50k",411198615.463771
"res_2012_200",405557079.159817
"res_2012_8k",400351864.982749
"pop2011_45k",384436148.626431
"imd_2012_5k",374611249.249306
"res_2012_100",371659739.177564
"res_2012_400",370350900.860512
"cveh2011_50k",351754044.11864
"residential_200",349630056.170668
"cveh2011_1k",339828767.653752
"slope",339602859.016778
"primary_400",330566761.640797
"pcar2011_200k",317518536.312553
"res_2012_1500",309167035.938952
"res_2012_6k",305071858.80698
"imd_2012_1500",301495961.355442
"imd_2012_7k",298767045.940066
"imd_2012_1800",296946720.489134
"res_2012_1800",287175756.410691
"res_2012_1200",266834688.574777
"pcar2011_1k",266570431.871548
"residential_500",266384662.285775
"res_2012_700",262271252.914756
"pop2011_1k",261647869.840389
"localA_500",261584453.885514
"cveh2011_200k",256232533.591635
"residential_400",253463993.938947
"localA_400",249207284.622706
"cveh2011_45k",247397765.51689
"res_2012_800",245488642.632112
"pop2011_200k",245430149.915459
"imd_2012_3500",242171898.033657
"cveh2011_5k",240807991.966002
"res_2012_4k",234380827.646386
"residential_300",218232949.020411
"res_2012_600",211705673.470606
"residential_100",209734294.078931
"elevation",208708637.217507
"imd_2012_800",205427848.732953
"res_2012_2k",203266513.967984
"pop2011",196645977.302856
"res_2012_2500",188632931.976758
"imd_2012_600",187574260.016702
"imd_2012_2500",186755396.14246
"imd_2012_200",184771876.025896
"residential_50",184475853.671677
"imd_2012_1200",183435458.443107
"imd_2012_1k",183375828.112686
"cveh2011_75k",176788591.969595
"unclassified_500",173551843.873817
"localA_300",170120297.046045
"imd_2012_400",164630021.663514
"unclassified_200",154212316.293258
"primary_300",147353751.132269
"imd_2012_300",137219838.328591
"res_2012_1k",133357890.783838
"imd_2012_500",129532748.777486
"imd_2012_2k",115068739.383429
"imd_2012_700",113584656.611919
"localA_200",113567974.084679
"primary_200",102519194.044711
"imd_2012_100",101577474.181363
"unclassified_400",77380709.5177899
"unclassified_300",76872454.7391353
"localA_100",35267545.6436987
"unclassified_100",32245097.0588314
"primary_50",31449407.074521
"area_type",30415840.6804989
"lane_10_primary",15790935.6821485
"unclassified_50",4884251.71123539
"primary_100",4520653.01356659
"lane_10_unclassified",2271838.25066667
"localA_50",1989803.90102637
"maxv_10_localA",1772688.02781571
"maxv_10_primary",1018640.40824242
"lane_10_residential",424125.529582205
"lane_10_localA",325950.211159086
"maxv_10_residential",0
"maxv_10_unclassified",0
