"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
2,2958.08293333333,1192,-1766.08293333333,"train","IT",4722447.5,1649857.5,"primary","rural"
5,4296.47223333333,3473,-823.472233333332,"train","IT",4592267.5,1626487.5,"primary","rural"
9,18271.8336,19237,965.166400000002,"train","UK",3612662.5,3193792.5,"primary","urban"
12,5709.52103333334,4672,-1037.52103333334,"train","IT",4623577.5,2137757.5,"primary","rural"
13,20966.2695,27510,6543.7305,"train","UK",3574572.5,3426422.5,"primary","urban"
17,2816.71456666666,237,-2579.71456666666,"train","IT",4267502.5,1964552.5,"primary","rural"
18,10377.3532666667,11611,1233.64673333334,"train","UK",3612047.5,3550782.5,"primary","rural"
22,5225.68306666667,3884,-1341.68306666667,"train","IT",4328382.5,2344737.5,"primary","rural"
23,5633.88263333334,4738,-895.882633333337,"train","DE",4495002.5,3310327.5,"primary","rural"
31,6926.93036666666,6860,-66.9303666666638,"train","UK",3644797.5,3515812.5,"primary","rural"
51,9409.68813333333,8586,-823.688133333329,"train","UK",3647527.5,3438622.5,"primary","rural"
55,9485.64443333333,6080,-3405.64443333333,"train","UK",3403377.5,3249902.5,"primary","urban"
63,6917.44766666666,6709,-208.447666666663,"train","FR",3482927.5,2364417.5,"primary","rural"
67,8128.82093333333,4248,-3880.82093333333,"train","UK",3467427.5,3196792.5,"primary","rural"
79,17518.1002,22722,5203.8998,"train","UK",3462992.5,3753397.5,"primary","rural"
87,7386.8549,1085,-6301.8549,"train","DE",4142952.5,2719357.5,"primary","urban"
95,16083.2502333333,15715,-368.250233333336,"train","UK",3463237.5,3445747.5,"primary","urban"
98,17666.4504666667,18735,1068.54953333332,"train","UK",3654692.5,3214572.5,"primary","rural"
115,18912.2783666667,20881,1968.72163333334,"train","UK",3621817.5,3211807.5,"primary","urban"
122,7286.3815,7449,162.618500000003,"train","DE",4422942.5,3422392.5,"primary","rural"
123,17836.6162666667,18710,873.383733333329,"train","UK",3557557.5,3465962.5,"primary","rural"
133,6188.53886666667,6057,-131.538866666666,"train","UK",3434452.5,3623307.5,"primary","urban"
145,6397.47983333334,7330,932.520166666664,"train","IT",4617192.5,2141787.5,"primary","rural"
152,17349.3139333333,23202,5852.68606666667,"train","IT",4333477.5,2414182.5,"primary","rural"
160,5987.09566666667,5710,-277.09566666667,"train","FR",3755122.5,2771412.5,"primary","rural"
173,8339.9371,10914,2574.0629,"train","DE",4528582.5,2732507.5,"primary","rural"
179,8891.86933333333,2113,-6778.86933333333,"train","UK",3587227.5,3210947.5,"primary","urban"
183,12345.2841,13691,1345.7159,"train","IT",4320477.5,2419357.5,"primary","rural"
185,16814.3985333333,16305,-509.398533333333,"train","UK",3499422.5,3455082.5,"primary","urban"
1,7165.41326666666,3025,-4140.41326666666,"test","IT",4545207.5,1650937.5,"primary","rural"
6,8820.0304,4777,-4043.0304,"test","DE",4058852.5,2942957.5,"primary","urban"
32,5123.86323333333,6026,902.136766666667,"test","IT",4813117.5,1909257.5,"primary","rural"
36,9749.15533333333,29889,20139.8446666667,"test","UK",3590227.5,3842087.5,"primary","urban"
42,5564.86876666667,7517,1952.13123333333,"test","DE",4579902.5,3426507.5,"primary","rural"
49,14269.3229333333,18714,4444.67706666667,"test","AT",4786417.5,2800252.5,"primary","urban"
106,8506.61233333333,11877,3370.38766666667,"test","FR",3481222.5,2312372.5,"primary","urban"
109,14720.5603666667,15204,483.439633333333,"test","UK",3449587.5,3708132.5,"primary","rural"
134,7948.95086666667,12072,4123.04913333333,"test","IT",4779172.5,1689202.5,"primary","urban"
135,11553.1178,17451.1863013699,5898.0685013699,"test","CH",4163957.5,2695372.5,"primary","urban"
137,5578.16903333333,2517,-3061.16903333333,"test","UK",3407022.5,3758007.5,"primary","rural"
166,16112.6369333333,10579,-5533.63693333333,"test","UK",3565587.5,3461567.5,"primary","urban"
192,4829.73913333333,1387,-3442.73913333333,"test","FR",3679897.5,2547882.5,"primary","rural"
