"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
1,4837.12550593607,3025,-1812.12550593607,"train","IT",4545207.5,1650937.5,"primary","rural"
2,2604.35936666667,1192,-1412.35936666667,"train","IT",4722447.5,1649857.5,"primary","rural"
5,3319.77413333333,3473,153.225866666666,"train","IT",4592267.5,1626487.5,"primary","rural"
6,7022.61696164384,4777,-2245.61696164384,"train","DE",4058852.5,2942957.5,"primary","urban"
9,17719.7179609132,19237,1517.28203908677,"train","UK",3612662.5,3193792.5,"primary","urban"
12,5319.90443333333,4672,-647.904433333333,"train","IT",4623577.5,2137757.5,"primary","rural"
13,21225.6321841096,27510,6284.36781589041,"train","UK",3574572.5,3426422.5,"primary","urban"
17,2209.86983333333,237,-1972.86983333333,"train","IT",4267502.5,1964552.5,"primary","rural"
23,4914.54873333333,4738,-176.548733333333,"train","DE",4495002.5,3310327.5,"primary","rural"
31,7644.27129488585,6860,-784.271294885845,"train","UK",3644797.5,3515812.5,"primary","rural"
32,5259.8549,6026,766.145100000001,"train","IT",4813117.5,1909257.5,"primary","rural"
36,21697.8641842922,29889,8191.13581570777,"train","UK",3590227.5,3842087.5,"primary","urban"
42,6218.5413,7517,1298.4587,"train","DE",4579902.5,3426507.5,"primary","rural"
49,17071.6931261187,18714,1642.30687388129,"train","AT",4786417.5,2800252.5,"primary","urban"
55,11268.3393491324,6080,-5188.33934913242,"train","UK",3403377.5,3249902.5,"primary","urban"
63,6992.29989022831,6709,-283.299890228309,"train","FR",3482927.5,2364417.5,"primary","rural"
67,7650.62925844749,4248,-3402.62925844749,"train","UK",3467427.5,3196792.5,"primary","rural"
79,18534.6330154338,22722,4187.3669845662,"train","UK",3462992.5,3753397.5,"primary","rural"
87,7952.08696584475,1085,-6867.08696584475,"train","DE",4142952.5,2719357.5,"primary","urban"
95,15521.8748572603,15715,193.125142739724,"train","UK",3463237.5,3445747.5,"primary","urban"
98,17494.8814728767,18735,1240.1185271233,"train","UK",3654692.5,3214572.5,"primary","rural"
106,11001.5911523288,11877,875.408847671239,"train","FR",3481222.5,2312372.5,"primary","urban"
109,15796.7596814612,15204,-592.759681461181,"train","UK",3449587.5,3708132.5,"primary","rural"
122,7448.57685689498,7449,0.423143105019335,"train","DE",4422942.5,3422392.5,"primary","rural"
123,17135.9329418265,18710,1574.06705817351,"train","UK",3557557.5,3465962.5,"primary","rural"
133,7126.96100109589,6057,-1069.96100109589,"train","UK",3434452.5,3623307.5,"primary","urban"
134,11283.8229783562,12072,788.177021643847,"train","IT",4779172.5,1689202.5,"primary","urban"
135,15560.9615376256,17451.1863013699,1890.22476374433,"train","CH",4163957.5,2695372.5,"primary","urban"
137,3095.45966666667,2517,-578.459666666668,"train","UK",3407022.5,3758007.5,"primary","rural"
145,6336.90343333333,7330,993.096566666668,"train","IT",4617192.5,2141787.5,"primary","rural"
152,15824.3434438356,23202,7377.65655616438,"train","IT",4333477.5,2414182.5,"primary","rural"
160,5514.61675981735,5710,195.38324018265,"train","FR",3755122.5,2771412.5,"primary","rural"
166,13231.7420822831,10579,-2652.7420822831,"train","UK",3565587.5,3461567.5,"primary","urban"
179,9549.13504977169,2113,-7436.13504977169,"train","UK",3587227.5,3210947.5,"primary","urban"
192,2492.83693333333,1387,-1105.83693333333,"train","FR",3679897.5,2547882.5,"primary","rural"
18,11098.7360149772,11611,512.263985022837,"test","UK",3612047.5,3550782.5,"primary","rural"
22,5859.94901570776,3884,-1975.94901570776,"test","IT",4328382.5,2344737.5,"primary","rural"
51,10855.7879526941,8586,-2269.78795269406,"test","UK",3647527.5,3438622.5,"primary","rural"
115,16298.7526683105,20881,4582.2473316895,"test","UK",3621817.5,3211807.5,"primary","urban"
173,4855.75896666666,10914,6058.24103333334,"test","DE",4528582.5,2732507.5,"primary","rural"
183,8535.17071780821,13691,5155.82928219179,"test","IT",4320477.5,2419357.5,"primary","rural"
185,15560.3102368036,16305,744.689763196351,"test","UK",3499422.5,3455082.5,"primary","urban"
