"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
1,4921.44599808219,3025,-1896.44599808219,"train","IT",4545207.5,1650937.5,"primary","rural"
5,3520.08996666667,3473,-47.0899666666674,"train","IT",4592267.5,1626487.5,"primary","rural"
6,6284.79467141553,4777,-1507.79467141553,"train","DE",4058852.5,2942957.5,"primary","urban"
9,19089.6706756164,19237,147.32932438358,"train","UK",3612662.5,3193792.5,"primary","urban"
12,5570.7677,4672,-898.767700000002,"train","IT",4623577.5,2137757.5,"primary","rural"
17,2656.68626666667,237,-2419.68626666667,"train","IT",4267502.5,1964552.5,"primary","rural"
18,12287.2963081279,11611,-676.296308127856,"train","UK",3612047.5,3550782.5,"primary","rural"
22,5306.18804118721,3884,-1422.18804118721,"train","IT",4328382.5,2344737.5,"primary","rural"
23,5143.7361,4738,-405.736099999997,"train","DE",4495002.5,3310327.5,"primary","rural"
31,7874.12479223744,6860,-1014.12479223744,"train","UK",3644797.5,3515812.5,"primary","rural"
32,5869.4394,6026,156.560600000001,"train","IT",4813117.5,1909257.5,"primary","rural"
36,23169.4487209132,29889,6719.55127908677,"train","UK",3590227.5,3842087.5,"primary","urban"
42,6362.56796666667,7517,1154.43203333333,"train","DE",4579902.5,3426507.5,"primary","rural"
49,17901.4295572603,18714,812.57044273974,"train","AT",4786417.5,2800252.5,"primary","urban"
51,9142.62051479451,8586,-556.620514794515,"train","UK",3647527.5,3438622.5,"primary","rural"
63,7383.06840593607,6709,-674.068405936068,"train","FR",3482927.5,2364417.5,"primary","rural"
79,19196.6626069406,22722,3525.33739305936,"train","UK",3462992.5,3753397.5,"primary","rural"
95,16601.9432279452,15715,-886.943227945187,"train","UK",3463237.5,3445747.5,"primary","urban"
106,11931.3349609132,11877,-54.3349609132383,"train","FR",3481222.5,2312372.5,"primary","urban"
109,14696.4575848402,15204,507.542415159816,"train","UK",3449587.5,3708132.5,"primary","rural"
115,18554.651042831,20881,2326.34895716897,"train","UK",3621817.5,3211807.5,"primary","urban"
123,17728.9331424657,18710,981.066857534257,"train","UK",3557557.5,3465962.5,"primary","rural"
133,6126.99550785388,6057,-69.9955078538824,"train","UK",3434452.5,3623307.5,"primary","urban"
134,12721.7992959817,12072,-649.799295981729,"train","IT",4779172.5,1689202.5,"primary","urban"
135,15548.8657520548,17451.1863013699,1902.3205493151,"train","CH",4163957.5,2695372.5,"primary","urban"
137,4022.5567343379,2517,-1505.5567343379,"train","UK",3407022.5,3758007.5,"primary","rural"
145,6500.37023333333,7330,829.629766666665,"train","IT",4617192.5,2141787.5,"primary","rural"
166,13403.3326170776,10579,-2824.33261707763,"train","UK",3565587.5,3461567.5,"primary","urban"
173,8603.82270785388,10914,2310.17729214612,"train","DE",4528582.5,2732507.5,"primary","rural"
179,8709.26482273972,2113,-6596.26482273972,"train","UK",3587227.5,3210947.5,"primary","urban"
183,10629.3802851141,13691,3061.61971488586,"train","IT",4320477.5,2419357.5,"primary","rural"
185,16645.0435657534,16305,-340.043565753411,"train","UK",3499422.5,3455082.5,"primary","urban"
192,2742.17083333333,1387,-1355.17083333333,"train","FR",3679897.5,2547882.5,"primary","rural"
2,4905.26406666667,1192,-3713.26406666667,"test","IT",4722447.5,1649857.5,"primary","rural"
13,15217.7140547032,27510,12292.2859452968,"test","UK",3574572.5,3426422.5,"primary","urban"
55,15035.6160953425,6080,-8955.61609534246,"test","UK",3403377.5,3249902.5,"primary","urban"
67,10878.9537336986,4248,-6630.95373369863,"test","UK",3467427.5,3196792.5,"primary","rural"
87,16285.3762705023,1085,-15200.3762705023,"test","DE",4142952.5,2719357.5,"primary","urban"
98,13619.2785052055,18735,5115.72149479452,"test","UK",3654692.5,3214572.5,"primary","rural"
122,6840.9814196347,7449,608.018580365296,"test","DE",4422942.5,3422392.5,"primary","rural"
152,10621.923136621,23202,12580.076863379,"test","IT",4333477.5,2414182.5,"primary","rural"
160,5714.3533,5710,-4.35330000000158,"test","FR",3755122.5,2771412.5,"primary","rural"
