"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
3,993.4027,1039,45.5973000000001,"train","UK",3703927.5,3148732.5,"residential","urban"
7,810.1175,582,-228.1175,"train","UK",3481602.5,3137852.5,"residential","urban"
11,1219.92726666667,1279,59.072733333333,"train","UK",3519892.5,3459172.5,"residential","urban"
14,781.056766666667,698,-83.0567666666669,"train","UK",3401937.5,3716892.5,"residential","urban"
21,392.955066666666,70,-322.955066666666,"train","UK",3504962.5,3339727.5,"residential","urban"
28,688.691633333334,477,-211.691633333334,"train","UK",3557432.5,3473472.5,"residential","urban"
38,742.181233333333,620,-122.181233333333,"train","UK",3653092.5,3428682.5,"residential","urban"
56,700.859033333333,388,-312.859033333333,"train","UK",3584062.5,3600152.5,"residential","urban"
57,946.576633333333,959,12.4233666666667,"train","UK",3596372.5,3315867.5,"residential","urban"
59,936.584366666667,675,-261.584366666667,"train","UK",3514287.5,3355122.5,"residential","urban"
61,465.3938,84,-381.3938,"train","UK",3358872.5,3443442.5,"residential","urban"
68,632.0082,91,-541.0082,"train","UK",3612062.5,3230357.5,"residential","urban"
70,1115.48236666667,955,-160.482366666665,"train","UK",3579757.5,3243602.5,"residential","urban"
71,994.842666666666,863,-131.842666666666,"train","UK",3467322.5,3489132.5,"residential","urban"
74,592.394700000001,442,-150.394700000001,"train","UK",3606302.5,3191157.5,"residential","urban"
77,1050.0993,1211,160.900699999999,"train","UK",3688712.5,3276362.5,"residential","urban"
78,1078.16776666667,1370,291.832233333334,"train","UK",3521547.5,3452202.5,"residential","urban"
84,560.703666666667,143,-417.703666666667,"train","UK",3496372.5,3454832.5,"residential","urban"
86,1443.73893333333,1626,182.261066666666,"train","UK",3662947.5,3205407.5,"residential","urban"
88,1844.93203333333,2447,602.067966666667,"train","UK",3638337.5,3175427.5,"residential","urban"
92,776.029366666667,658,-118.029366666667,"train","UK",3697027.5,3175452.5,"residential","urban"
99,1480.7716,1867,386.2284,"train","UK",3555707.5,3374007.5,"residential","urban"
103,998.752733333333,1125,126.247266666667,"train","UK",3641027.5,3455692.5,"residential","urban"
121,1200.6372,1075,-125.637200000001,"train","UK",3571637.5,3200597.5,"residential","urban"
125,857.558833333333,863,5.44116666666662,"train","UK",3566332.5,3838252.5,"residential","urban"
126,861.552133333333,682,-179.552133333333,"train","UK",3480302.5,3246847.5,"residential","urban"
127,961.8103,1062,100.1897,"train","UK",3425577.5,3270242.5,"residential","urban"
131,1070.45016666667,1230,159.549833333333,"train","UK",3454237.5,3138617.5,"residential","urban"
142,1436.5155,2099,662.4845,"train","UK",3600322.5,3210192.5,"residential","urban"
148,1013.55103333333,1103,89.4489666666669,"train","UK",3511312.5,3224522.5,"residential","urban"
150,788.3126,616,-172.3126,"train","UK",3564532.5,3427772.5,"residential","urban"
155,905.463466666667,701,-204.463466666667,"train","UK",3413317.5,3235032.5,"residential","urban"
175,1894.96833333333,2701,806.031666666667,"train","UK",3409072.5,3245962.5,"residential","urban"
177,1258.7252,1552,293.274799999999,"train","UK",3465642.5,3449627.5,"residential","urban"
178,852.003333333334,643,-209.003333333334,"train","UK",3688312.5,3276597.5,"residential","urban"
180,540.927133333333,268,-272.927133333333,"train","UK",3633907.5,3204302.5,"residential","urban"
196,753.862433333334,797,43.1375666666662,"train","UK",3560957.5,3467622.5,"residential","urban"
198,565.517133333334,409,-156.517133333334,"train","UK",3635652.5,3211357.5,"residential","urban"
15,875.063433333334,291,-584.063433333334,"test","UK",3545087.5,3385937.5,"residential","urban"
16,822.675933333333,1015,192.324066666667,"test","UK",3321637.5,3130087.5,"residential","urban"
20,1034.70476666667,493,-541.704766666667,"test","UK",3642272.5,3457277.5,"residential","urban"
26,972.066733333333,983,10.933266666667,"test","UK",3498567.5,3408007.5,"residential","urban"
29,896.226466666667,790,-106.226466666667,"test","UK",3579287.5,3601452.5,"residential","urban"
82,791.6912,591,-200.6912,"test","UK",3561892.5,3462912.5,"residential","urban"
97,851.620866666667,343,-508.620866666667,"test","UK",3586627.5,3601912.5,"residential","urban"
130,977.527966666666,1805,827.472033333334,"test","UK",3555807.5,3156237.5,"residential","urban"
138,1147.46946666667,237,-910.469466666667,"test","UK",3651947.5,3172782.5,"residential","urban"
161,903.628633333333,1142,238.371366666667,"test","UK",3569537.5,3137627.5,"residential","urban"
